0
"[[2.930000e+02 1.100000e+00 1.165437e+05 3.978000e+02 1.031600e+03
  9.990000e+01 5.610000e+02 2.100000e+00 9.713550e+04 1.731000e+02
  1.031200e+03 6.490000e+01 1.697100e+04 3.030000e+01 3.607000e+02
  2.000000e-01 5.773900e+04 4.900000e+02 1.800000e+00 3.734620e+04
  7.620000e+01 3.327000e+02 6.370000e+01 5.232400e+03 1.070000e+01
  6.026000e+02 4.000000e-01 4.660000e+02]]"
"[[1.19000e+02 1.00000e+00 3.92058e+04 3.29500e+02 9.31700e+02 9.91000e+01
  2.35000e+02 2.00000e+00 5.66279e+04 2.41000e+02 1.93070e+03 6.31000e+01
  5.22510e+03 2.22000e+01 3.55100e+02 5.00000e-01 1.49080e+04 1.76000e+02
  1.50000e+00 1.38574e+04 7.87000e+01 1.99500e+02 6.22000e+01 8.36600e+02
  4.80000e+00 3.00000e+01 4.00000e-01 5.77400e+02]]"
"[[1.92000e+02 1.10000e+00 5.83973e+04 3.04200e+02 9.65000e+02 1.01200e+02
  4.42000e+02 2.50000e+00 7.67373e+04 1.73600e+02 8.64900e+02 6.61000e+01
  1.07559e+04 2.43000e+01 1.68200e+02 2.00000e-01 4.16710e+04 3.48000e+02
  2.00000e+00 2.56432e+04 7.37000e+01 1.66300e+02 6.20000e+01 3.93140e+03
  1.13000e+01 1.84040e+03 4.00000e-01 4.26400e+02]]"
"[[1.79000e+02 1.00000e+00 4.78561e+04 2.67400e+02 9.31400e+02 9.99000e+01
  3.71000e+02 2.20000e+00 9.75890e+04 2.63000e+02 1.26430e+03 6.61000e+01
  8.55300e+03 2.31000e+01 1.80300e+02 8.00000e-01 3.39020e+04 2.44000e+02
  1.40000e+00 1.79898e+04 7.37000e+01 1.99700e+02 5.78000e+01 1.01810e+03
  4.20000e+00 3.43000e+01 4.00000e-01 6.29900e+02]]"
"[[2.430000e+02 1.000000e+00 6.529840e+04 2.687000e+02 6.996000e+02
  1.327000e+02 5.320000e+02 2.300000e+00 1.347289e+05 2.532000e+02
  2.229100e+03 6.630000e+01 9.997100e+03 1.880000e+01 2.474000e+02
  3.000000e-01 5.469400e+04 3.470000e+02 1.500000e+00 2.546720e+04
  7.340000e+01 1.665000e+02 5.670000e+01 1.456900e+03 4.200000e+00
  2.700000e+01 4.000000e-01 6.082000e+02]]"
"[[1.38000e+02 1.10000e+00 5.67640e+04 4.11300e+02 9.64900e+02 9.99000e+01
  2.86000e+02 2.20000e+00 4.68231e+04 1.63700e+02 9.65000e+02 6.59000e+01
  7.79340e+03 2.72000e+01 2.68400e+02 6.00000e-01 2.30520e+04 2.45000e+02
  1.90000e+00 1.82913e+04 7.47000e+01 2.33000e+02 6.33000e+01 1.88880e+03
  7.70000e+00 4.35300e+02 3.00000e-01 4.49200e+02]]"
"[[1.60000e+02 1.10000e+00 4.18398e+04 2.61500e+02 8.31900e+02 1.33100e+02
  3.27000e+02 2.20000e+00 8.21460e+04 2.51200e+02 2.36270e+03 6.57000e+01
  5.54530e+03 1.70000e+01 1.96400e+02 6.00000e-01 2.42230e+04 2.31000e+02
  1.50000e+00 1.73375e+04 7.51000e+01 2.00000e+02 6.22000e+01 9.18800e+02
  4.00000e+00 2.57000e+01 3.00000e-01 5.76700e+02]]"
"[[2.100000e+02 1.000000e+00 1.014873e+05 4.833000e+02 1.031700e+03
  8.430000e+01 3.950000e+02 1.900000e+00 5.123880e+04 1.297000e+02
