0
"[[ 66.    5.6]
 [ 66.    3.2]
 [ 64.    1.2]
 ...
 [ 66.   16.3]
 [133.   15.7]
 [199.   25.6]]"
"[[6.60e+01 1.20e+00]
 [6.60e+01 1.80e+00]
 [6.60e+01 3.60e+00]
 [6.60e+01 6.00e-01]
 [1.33e+02 2.40e+00]
 [9.90e+01 3.00e+00]
 [6.60e+01 9.00e-01]
 [9.90e+01 1.32e+01]
 [6.60e+01 1.09e+01]
 [6.60e+01 1.00e+00]
 [6.60e+01 1.50e+00]
 [6.60e+01 4.00e+00]
 [9.90e+01 8.00e-01]
 [6.60e+01 5.00e-01]
 [6.60e+01 7.00e-01]
 [9.90e+01 1.00e+00]
 [6.60e+01 4.00e-01]
 [6.60e+01 8.00e-01]
 [9.90e+01 5.40e+00]
 [6.70e+01 1.60e+00]
 [6.60e+01 2.00e+00]
 [6.60e+01 8.20e+00]
 [6.60e+01 1.10e+00]
 [1.33e+02 1.40e+00]
 [6.70e+01 8.90e+00]
 [9.90e+01 1.29e+01]
 [6.60e+01 1.24e+01]
 [6.60e+01 8.00e-01]
 [9.90e+01 6.50e+00]
 [9.90e+01 5.70e+00]
 [9.90e+01 1.10e+00]
 [6.60e+01 6.00e-01]
 [9.90e+01 1.71e+01]
 [9.90e+01 1.62e+01]
 [6.60e+01 4.00e+00]
 [6.60e+01 5.00e-01]
 [6.60e+01 5.00e-01]
 [6.60e+01 1.80e+00]
 [6.50e+01 5.00e-01]
 [6.60e+01 3.10e+00]
 [1.66e+02 1.74e+01]
 [6.60e+01 5.00e-01]
 [6.60e+01 3.70e+00]
 [9.90e+01 5.60e+00]
 [6.60e+01 2.10e+00]
 [1.00e+02 8.70e+00]
 [9.90e+01 1.16e+01]
 [6.60e+01 1.02e+01]
 [9.90e+01 1.23e+01]
 [6.60e+01 7.60e+00]
 [6.60e+01 3.00e-01]
 [9.90e+01 1.20e+00]
 [6.60e+01 5.20e+00]
 [6.60e+01 3.00e+00]
 [6.60e+01 8.30e+00]
 [6.60e+01 6.90e+00]
 [6.60e+01 2.50e+00]
 [6.60e+01 1.10e+00]
 [6.60e+01 6.00e-01]
 [6.60e+01 2.20e+00]
 [9.90e+01 1.31e+01]
 [6.50e+01 8.00e-01]
 [6.60e+01 1.28e+01]
 [6.60e+01 1.10e+00]
 [9.90e+01 6.20e+00]
 [6.60e+01 6.00e+00]
 [9.90e+01 2.06e+01]
 [6.70e+01 1.06e+01]
 [6.60e+01 9.30e+00]
 [6.60e+01 2.10e+00]
 [6.60e+01 1.23e+01]
 [1.33e+02 2.90e+00]
 [6.60e+01 7.70e+00]
 [6.60e+01 1.00e+00]
 [6.60e+01 1.30e+00]
 [1.03e+02 1.73e+01]
 [6.60e+01 3.90e+00]
 [6.70e+01 2.40e+00]
 [6.60e+01 7.60e+00]
 [6.80e+01 6.00e-01]
 [6.60e+01 5.20e+00]
 [6.60e+01 8.00e-01]
 [6.60e+01 1.09e+01]
 [9.90e+01 9.90e+00]
 [6.70e+01 1.60e+00]
 [6.60e+01 1.00e+00]
 [6.60e+01 7.40e+00]
 [6.60e+01 7.00e-01]
 [6.60e+01 6.40e+00]
 [9.90e+01 9.00e-01]
 [6.60e+01 7.00e-01]
 [6.60e+01 9.00e-01]
 [6.60e+01 4.00e-01]
 [1.66e+02 1.92e+01]
 [1.33e+02 5.30e+00]
 [6.60e+01 8.40e+00]
 [9.90e+01 9.00e-01]
 [1.33e+02 9.00e-01]
 [6.60e+01 1.50e+00]
