0
"[[133.    6.1]
 [ 66.    6.8]
 [199.    5.4]
 ...
 [ 99.    5.2]
 [ 66.    0.7]
 [ 66.    4.6]]"
"[[ 66.    3.9]
 [ 66.    4.5]
 [ 66.    6.1]
 [ 99.   11.4]
 [ 68.    1.4]
 [ 66.   11.4]
 [ 66.   23.5]
 [ 66.    7.8]
 [ 66.    5.5]
 [ 66.    8.2]
 [ 66.    4. ]
 [ 66.    5.1]
 [ 66.    9.3]
 [100.   14. ]
 [ 67.    0.7]
 [ 66.    4.6]
 [ 66.    0.8]
 [ 66.    3. ]
 [ 66.    2.5]
 [ 66.    7.2]
 [ 66.    2.8]
 [133.    4.5]
 [100.    2. ]
 [ 66.    7.5]
 [ 67.    1.1]
 [ 66.    6.2]
 [ 66.    1.5]
 [ 99.    1.5]
 [ 99.    3.1]
 [ 66.    3. ]
 [ 66.    0.6]
 [ 66.    0.8]
 [ 99.    1.2]
 [ 70.    5.3]
 [ 66.    5.3]
 [ 67.    1.8]
 [ 99.    8.8]
 [ 66.    0.5]
 [ 66.    0.7]
 [ 66.    5.3]
 [ 66.    0.7]
 [ 66.    1. ]
 [ 66.    5.3]
 [ 66.    1.9]
 [ 66.    1.5]
 [ 66.    2.9]
 [ 66.    2.8]
 [ 66.    2. ]
 [ 66.    7.4]
 [ 67.    9.6]
 [ 66.    1.4]
 [ 66.    6.7]
 [ 66.    1.2]
 [ 66.    2. ]
 [ 66.    0.9]
 [ 99.    2. ]
 [100.    1.7]
 [ 66.    4.7]
 [ 66.    5.5]
 [ 66.    5.5]
 [ 99.   14.3]
 [ 66.    8.3]
 [132.    9.1]
 [ 66.    4.1]
 [133.   21.3]
 [ 66.    3.9]
 [ 64.    7. ]
 [ 66.    7.4]
 [ 66.    2.8]
 [ 66.    1.5]
 [ 66.    3.1]
 [ 66.    7.1]
 [ 65.    2. ]
 [ 66.    1.1]
 [ 66.    2.6]
 [ 99.    8.1]
 [ 66.    2.1]
 [ 66.    9.7]
 [ 66.   11.7]
 [ 66.    0.6]
 [100.    7.1]
 [ 66.    7.8]
 [132.    1.8]
 [ 66.    4.1]
 [ 66.    2.6]
 [ 66.    2.7]
 [ 66.   13. ]
 [ 66.    1.1]
 [ 65.    0.8]
 [ 66.    0.6]
 [199.    4.4]
 [ 65.    3. ]
 [ 66.    9.8]
 [ 99.    6.4]
 [ 67.    6. ]
 [ 64.    1.2]
 [ 66.    3.1]
 [ 66.   11.1]
 [266.   49.9]
 [ 66.    5.3]
 [ 66.    3. ]
 [ 66.    1.4]
 [ 66.    2.4]
 [166.   14.6]
 [ 66.    0.6]
 [ 66.    5.8]
 [ 67.    8.6]
 [ 66.    2.7]
 [ 66.    1.1]
 [ 66.    2.3]
 [133.    2.7]
 [ 66.    4.5]
 [166.    5. ]
 [ 66.    6.8]
 [ 66.    3.5]
 [ 66.    2.5]
 [ 66.    3.8]
 [133.    6.7]
 [133.    7.3]
 [133.    4.9]
 [ 66.    8.3]
 [129.    3.2]
 [133.    4.8]
 [ 66.    2.4]
 [133.    6.6]
 [ 66.    0.4]
 [133.    2.2]
 [ 66.    1. ]
 [199.    6.3]
 [ 66.    5.8]
 [ 68.    2.6]
 [199.    7.7]
 [ 66.    8.4]
 [ 99.    3.5]
 [ 64.    4.4]
 [ 66.    1.8]
 [ 66.    2.9]
 [ 66.    0.6]
 [ 98.    4.7]
 [ 99.    5.6]
 [ 99.    4.7]
 [100.    5.9]
 [ 66.    2.5]
 [ 66.    3.1]
 [ 99.   17.3]
