0
"[[100.    3.8]
 [ 66.    2. ]
 [ 99.    2.1]
 ...
 [ 66.    1.3]
 [ 65.    0.5]
 [100.    0.8]]"
"[[ 99.    1.8]
 [ 66.    0.7]
 [166.    1.7]
 [ 66.    0.8]
 [100.    1.1]
 [ 66.    1.5]
 [ 66.    1.2]
 [ 99.   22.9]
 [ 66.    1.5]
 [ 99.   12.5]
 [ 66.   13.6]
 [ 66.    2.1]
 [ 66.    3.2]
 [ 66.    5.3]
 [ 66.   16.1]
 [ 99.    6.1]
 [ 66.    2.3]
 [ 66.    1.5]
 [ 99.    0.6]
 [ 66.    1.9]
 [199.   34.3]
 [132.   15.8]
 [ 66.    9.1]
 [ 66.    1.1]
 [ 66.    9.1]
 [100.   17.9]
 [ 66.    5.6]
 [ 66.    8.3]
 [ 66.    7.8]
 [ 65.   10.7]
 [ 66.   10.2]
 [ 66.   10.2]
 [166.   18.5]
 [ 66.    3.9]
 [ 66.    0.7]
 [ 66.    1. ]
 [166.   16.6]
 [ 66.    0.9]
 [ 66.    0.9]
 [ 66.    0.8]
 [ 66.   14.8]
 [ 66.    1.7]
 [ 98.    9.6]
 [ 99.   14. ]
 [ 66.    2.2]
 [ 61.    1.5]
 [ 66.    8.9]
 [ 66.    6.5]
 [ 97.    5.2]
 [ 66.    2.2]
 [ 99.   16.8]
 [ 66.    6.8]
 [ 66.    5.1]
 [ 99.    6.2]
 [ 66.    1.4]
 [100.    8.1]
 [ 67.   11.5]
 [ 66.    7.1]
 [ 99.   21. ]
 [ 66.    0.7]
 [ 66.    1.1]
 [ 99.    0.8]
 [ 66.    8. ]
 [ 66.    0.9]
 [ 66.    0.5]
 [ 66.    5.3]
 [ 66.    2.9]
 [199.   15.7]
 [ 66.    2.8]
 [133.    5.5]
 [ 66.    5. ]
 [ 99.    1.2]
 [ 66.    3. ]
 [100.    1.7]
 [ 66.    1.3]
 [ 66.    1. ]
 [ 66.    3.1]
 [ 66.    1. ]
 [ 99.    0.4]
 [100.    8.2]
 [ 66.    7.3]
 [ 67.    7.5]
 [ 66.    6.9]
 [ 65.   12.2]
 [232.   34.7]
 [ 66.    7.2]
 [ 66.   11.2]
 [133.   15.3]
 [ 99.   13.5]
 [ 66.    1.1]
 [ 66.    1.8]
 [ 66.    3.4]
 [ 99.   12.8]
 [131.    9.6]
 [199.   36.6]
 [ 66.    0.6]
 [ 99.    7.8]
 [ 66.   12.1]
