0
"[[ 61.2  47.1   3.    4. ]
 [ 62.8  49.3  16.    8. ]
 [ 69.7  54.8   3.   29. ]
 ...
 [ 99.7  88.5   4.    8. ]
 [104.3  93.3   5.    5. ]
 [ 99.8  88.2  15.    8. ]]"
"[[75.5 59.8  8.   6. ]
 [81.3 60.7 20.  37. ]
 [84.2 60.8  9.  21. ]
 ...
 [85.  82.3  4.  14. ]
 [84.9 81.9  8.  32. ]
 [84.7 82.7  3.   4. ]]"
"[[ 64.5  39.5  43.   62. ]
 [ 69.9  47.6  89.  132. ]
 [ 72.5  50.5   7.   12. ]
 ...
 [ 72.1  63.4   7.    3. ]
 [ 75.5  65.    5.    2. ]
 [ 77.3  66.    1.    2. ]]"
"[[68.1 58.4 75.  43. ]
 [69.6 62.6 13.  58. ]
 [67.3 56.7  6.   8. ]
 ...
 [65.  62.3  2.   4. ]
 [64.9 61.7  3.  16. ]
 [70.  60.8 23.  33. ]]"
"[[64.5 58.5  2.   3. ]
 [63.3 52.   1.   1. ]
 [64.  52.9  4.   6. ]
 ...
 [78.4 77.3  2.   3. ]
 [79.  78.   1.   2. ]
 [83.5 80.8  1.   0. ]]"
"[[71.9 57.9  3.   5. ]
 [72.8 60.3  4.   8. ]
 [78.  63.7  2.   7. ]
 ...
 [90.8 68.8  2.   9. ]
 [91.4 71.4  3.   6. ]
 [87.1 70.   2.   2. ]]"
"[[58.6 56.8 17.   6. ]
 [70.4 62.7  1.   5. ]
 [72.7 62.3 10.   1. ]
 ...
 [56.3 40.3 35.   6. ]
 [56.  41.7 11.   7. ]
 [60.7 44.9 11.  19. ]]"
"[[ 71.6  64.8   3.    5. ]
 [ 74.1  68.    3.    2. ]
 [ 77.4  69.2   4.    2. ]
 ...
 [108.6  89.    4.    2. ]
 [107.2  89.8  12.    3. ]
 [108.7  88.    3.    6. ]]"
"[[ 65.   44.6 241.  174. ]
 [ 56.2  50.2  39.    2. ]
 [ 59.   50.5  10.    3. ]
 ...
 [ 58.7  47.    3.   18. ]
 [ 59.5  48.5   1.   10. ]
 [ 58.7  45.3  14.   16. ]]"
"[[67.9 52.8  4.   7. ]
 [68.7 54.7  1.   0. ]
 [70.3 62.5  2.   9. ]
 ...
 [68.  58.5  1.   0. ]
 [68.8 58.8  4.   5. ]
 [69.8 59.8  8.  11. ]]"
"[[54.5 43.   0.   1. ]
 [59.8 52.4  6.   4. ]
 [62.1 55.   3.   4. ]
 ...
 [91.5 79.8  8.   6. ]
 [93.3 81.  12.  20. ]
 [92.  82.8 17.   4. ]]"
"[[ 87.8  71.    3.   18. ]
