0
"[[100.3  66.    0.    3. ]
 [101.   65.8   4.    2. ]
 [102.   64.3   1.    1. ]
 ...
 [126.5  92.7   3.    6. ]
 [123.3  91.7  38.   11. ]
 [119.8  89.8  14.    2. ]]"
"[[121.   80.   19.    3. ]
 [122.7  80.7   5.    1. ]
 [117.5  89.    7.    3. ]
 ...
 [ 33.5  19.5  18.   16. ]
 [ 61.5  34.    4.   45. ]
 [ 39.7  23.3  24.   30. ]]"
"[[145.7 131.    2.    6. ]
 [149.3 120.1  10.   30. ]
 [150.  105.    7.   32. ]
 [129.2  72.8  28.   31. ]
 [132.9  75.7  29.   21. ]
 [136.5  70.   29.    8. ]
 [139.4  83.   29.   14. ]
 [143.5  88.5  31.   10. ]
 [141.7  84.1  12.   47. ]
 [139.   76.    4.    0. ]
 [138.8  71.8   5.    6. ]
 [130.4  87.1  36.   52. ]
 [138.5  88.5   5.    5. ]
 [129.7  68.7  33.   32. ]
 [138.1  68.9  25.   79. ]
 [135.2  69.5 114.   96. ]
 [134.3  71.3   3.    8. ]
 [142.1  75.7   7.   21. ]
 [143.   65.3   2.   29. ]
 [133.   84.   15.   56. ]
 [133.7  81.2  51.   87. ]
 [136.   80.    1.    0. ]
 [132.8  75.    3.   16. ]
 [137.4  86.3  14.   30. ]
 [138.   81.6  13.   15. ]
 [138.   77.8   9.   20. ]
 [138.3  76.5   4.    6. ]
 [131.2  83.   12.   18. ]
 [131.8  81.5   3.    4. ]
 [138.3  81.   14.    8. ]
 [137.3  82.5  12.   13. ]
 [143.2  79.7  10.   22. ]
 [145.2  83.4   4.    8. ]
 [143.7  77.9   7.   27. ]
 [136.3  84.7   9.    9. ]
 [144.   91.9  12.   11. ]
 [135.6  73.    7.   11. ]
 [134.   77.    2.    5. ]
 [132.8  67.3  11.    6. ]
 [137.1  68.4   4.   10. ]
 [141.   70.    2.    0. ]
 [142.3  70.    2.    2. ]
 [140.5  70.5   7.    6. ]
 [139.   69.3   8.    9. ]
 [141.7  69.3   3.    3. ]
 [143.3  67.4  17.   21. ]
 [141.7  81.   16.   15. ]
 [138.   79.7  88.   80. ]
 [134.2  72.8  11.   19. ]
 [132.7  72.7   7.    3. ]
 [133.3  73.7   5.    4. ]
 [124.3  73.7  12.   11. ]
 [146.   86.    0.    2. ]
 [135.7  75.3   5.   12. ]
 [141.1  81.4  18.   13. ]
 [141.   81.    8.    1. ]
 [133.5  74.    6.  141. ]
 [139.6  80.2  36.   21. ]
 [136.6  76.9  41.   14. ]
 [135.   75.3  28.   64. ]
 [ 74.   35.   10.   11. ]
 [ 53.   37.   30.   37. ]
 [ 64.5  38.    4.   11. ]
 [123.5  64.5  34.   73. ]
 [ 58.8  40.    9.   26. ]
 [ 31.2  23.8   7.    5. ]
 [ 70.8  43.    6.   36. ]
 [ 47.7  29.7 178.   45. ]
 [ 52.5  36.5  19.   13. ]
 [134.7  72.1  35.   33. ]
 [144.7  68.7   7.    8. ]
 [144.6  69.3  21.   17. ]
 [ 93.8  49.3  25.   92. ]
 [ 81.5  48.5  24.    2. ]
 [108.5  48.5   7.    0. ]
 [100.5  53.5  67.   37. ]
 [149.3  76.3   8.   21. ]
 [142.   77.3   3.    9. ]
 [146.7  81.7  26.   93. ]
 [ 92.3  69.    4.    8. ]
 [ 94.   70.5   1.    2. ]
 [124.3  71.7  30.   40. ]
 [137.5  80.   10.   35. ]
 [141.5  76.5  12.   19. ]
 [ 83.8  49.8  38.   26. ]
 [114.   58.8  30.   18. ]
 [102.5  54.7  56.   24. ]
 [ 84.   51.7   5.   14. ]
 [136.2  70.   27.   53. ]
 [141.7  80.3  16.   30. ]
 [140.5  78.5   5.   15. ]
 [ 89.   52.5   1.    2. ]
 [ 58.5  39.5  17.   10. ]
 [ 57.7  39.8   3.   49. ]
 [101.4  54.6   5.   37. ]
 [136.5  74.   62.   48. ]
 [142.6  75.8  19.   14. ]
 [ 95.5  60.5  17.    6. ]
 [134.8  76.1 127.   48. ]
 [128.3  68.7   9.   22. ]
 [127.   69.5  21.   18. ]
 [141.   72.5  14.   25. ]
 [150.7  78.4  76.   67. ]
 [ 89.8  63.5  13.   26. ]
 [143.   83.    4.   13. ]
 [147.5  79.2  27.   28. ]
 [143.   80.   16.   25. ]
 [147.2  83.   18.   12. ]
 [149.4  82.9  99.  138. ]
 [142.5  82.   22.    9. ]
 [149.4  82.6  41.   53. ]
 [143.7  77.3  41.   66. ]
 [141.7  79.3  10.   14. ]
 [128.   76.   20.    2. ]
 [134.   79.    5.    0. ]
 [136.5  79.    4.    9. ]
 [142.5  78.    0.   10. ]
 [141.   77.5  48.   15. ]
 [139.5  66.5  14.   50. ]
 [141.5  67.   52.   82. ]
 [106.   51.    1.   69. ]
 [141.5  65.5  11.   21. ]
 [141.3  64.3   5.   39. ]
 [136.3  62.3  31.   54. ]
 [ 71.   35.    0.    2. ]
 [ 61.   34.   90.   17. ]
 [ 65.8  33.3  29.   55. ]
 [ 59.3  34.   24.   48. ]
 [107.5  53.8   6.   11. ]
 [ 64.8  39.2  56.   27. ]
 [ 93.7  47.7  16.   14. ]
 [ 15.8  22.4  14.   47. ]
 [ 61.7  40.7   7.    3. ]
 [134.   62.7   0.    7. ]
 [ 64.   30.5  22.   20. ]
 [ 63.5  31.   22.   22. ]
 [ 88.8  41.6  17.   26. ]
 [ 63.7  32.   18.   25. ]
 [140.5  69.   11.   35. ]
 [114.7  53.7  51.   31. ]
 [ 63.5  37.    7.   57. ]
 [ 31.   29.8   7.   11. ]
 [ 62.4  36.8   8.   53. ]
 [ 86.6  46.1  15.   41. ]
 [ 74.9  41.5   2.   10. ]
 [ 61.2  35.   16.   45. ]
 [129.5  62.    1.   44. ]
 [ 63.   34.   53.   38. ]
 [ 61.5  34.    9.    2. ]
 [ 64.   32.5  20.   22. ]
 [ 65.3  32.6  47.   40. ]
 [ 43.   31.   65.   43. ]
 [ 90.   54.    7.   36. ]
 [ 66.7  45.3  11.   26. ]
 [ 38.3  32.    6.    9. ]
 [117.8  61.5  41.   97. ]
 [ 53.3  37.    1.    3. ]
 [ 64.5  37.3  35.   58. ]
 [129.   66.    2.    7. ]
 [129.5  67.   12.   14. ]
 [ 83.   48.   50.   35. ]
 [ 49.8  37.3  84.  106. ]
 [138.   71.5  55.   71. ]
 [106.3  55.3  66.   80. ]
 [126.7  65.3   2.    9. ]
 [126.5  65.5   0.    1. ]
 [129.7  67.    4.    2. ]
 [130.3  68.    2.    2. ]
 [131.5  68.5   0.    5. ]
 [148.   73.5   4.    1. ]
 [131.2  66.8  29.   27. ]
 [104.3  58.7   3.    4. ]
 [141.   67.    3.   14. ]
 [142.5  66.5  22.   18. ]
 [143.2  68.4   7.   42. ]
 [145.5  74.5  23.   45. ]
 [ 68.3  34.7  45.   44. ]
 [ 53.   35.5   6.   11. ]
 [ 64.   40.    4.    3. ]
 [ 70.7  36.    9.   86. ]
 [  0.    0.    0.    0. ]
 [ 65.8  31.8  44.   39. ]
 [ 88.5  51.5  22.   32. ]
 [ 39.   31.5   7.   16. ]
 [ 39.   20.   43.  104. ]
 [ 65.6  39.6   1.    3. ]
 [ 53.4  32.5  31.   91. ]
 [ 66.   41.    1.    1. ]
 [ 73.4  44.6   7.   16. ]
 [ 55.1  34.7  36.  151. ]
 [140.5  71.   50.   69. ]
 [ 69.4  44.6  48.   14. ]
 [136.   69.   20.   66. ]
 [ 79.   42.4  32.   27. ]
 [ 67.   37.    0.    2. ]
 [110.   55.3 104.   46. ]
 [ 62.3  36.7  39.   36. ]
 [ 39.5  29.    2.    0. ]
 [  0.    0.    2.    2. ]
 [  0.    0.    4.   24. ]
 [  0.    0.   12.   14. ]
 [  0.    0.    1.    2. ]
 [ 65.   33.7  41.  110. ]
 [ 65.5  33.    3.   52. ]
 [ 67.3  34.   33.   40. ]
 [ 79.8  43.5  15.   18. ]
 [145.5  74.    5.   27. ]
 [ 87.8  48.3   3.   16. ]
 [ 81.3  46.   46.   40. ]
 [ 85.   50.   40.   37. ]
 [ 51.5  35.   13.   65. ]
 [ 21.6  24.6  44.   16. ]
 [ 28.5  28.    3.    3. ]
 [  0.    0.    5.   91. ]
 [ 40.5  25.   19.   27. ]
 [ 59.3  31.   17.   18. ]
 [  0.    0.    9.   12. ]
 [  4.1   2.2 140.   73. ]
 [100.   51.   19.   35. ]
 [ 38.   32.   36.   82. ]
 [  0.    0.    5.   15. ]
 [ 25.8  14.8  42.   51. ]
 [ 57.   29.7  36.   76. ]
 [ 51.7  27.7  72.  107. ]
 [ 13.7   6.    6.   13. ]
 [105.3  52.7  27.   76. ]]"
"[[113.1  62.1  12.   12. ]
 [114.5  63.    7.    5. ]
 [115.4  64.1   7.    6. ]
 ...
 [145.  101.3  14.   14. ]
 [146.  105.    2.    8. ]
 [145.5 103.3 134.   64. ]]"
"[[93.  61.4  9.   5. ]
 [93.8 62.8  9.   6. ]
 [84.  58.5  0.   3. ]
 ...
 [89.2 59.2 13.  26. ]
 [83.5 56.   2.   1. ]
 [84.  57.   7.   0. ]]"
"[[77.  54.   4.   3. ]
 [73.5 53.   1.   6. ]
 [82.2 53.   9.   7. ]
 ...
 [70.6 45.2 73.  58. ]
 [74.8 53.3  2.   7. ]
 [82.2 51.7 40.  22. ]]"
"[[ 88.   55.3   3.    6. ]
 [ 93.   56.8  10.   20. ]
 [ 94.8  57.5   9.   12. ]
 [ 97.3  60.5  12.    4. ]
 [ 99.   62.5   3.    6. ]
 [ 99.1  64.1  18.    7. ]
 [101.   65.7   6.    3. ]
 [ 98.8  64.8  30.   11. ]
 [ 94.4  63.4  56.   16. ]
 [ 95.   63.5   0.    6. ]
 [ 92.8  63.    7.    3. ]
 [ 89.   61.   14.    3. ]
 [ 89.3  60.3   3.    7. ]
 [ 91.   61.   12.    3. ]
 [ 89.8  59.3  14.   14. ]
 [ 94.3  58.   11.    7. ]
 [ 94.4  60.3   8.    2. ]
 [ 99.3  62.   19.    8. ]
 [ 95.8  59.8  20.    9. ]
 [ 97.   62.    6.    6. ]
 [100.6  63.9  76.   17. ]
 [104.8  66.    2.    4. ]
 [101.4  77.6  12.    5. ]
 [ 96.4  72.8   4.    3. ]
 [ 88.   67.3   1.    1. ]
 [ 90.   69.7  25.   17. ]
 [ 90.3  65.3   4.   11. ]
 [ 96.8  64.7   5.   16. ]
 [ 97.1  64.    6.   13. ]
 [ 98.1  64.4   9.    7. ]
 [ 97.8  62.    2.    2. ]
 [ 95.   58.    5.    8. ]
 [ 96.   58.    2.   10. ]
 [ 99.   60.3   5.    5. ]
 [ 98.5  64.8  13.   20. ]
 [103.9  68.2  20.   35. ]
 [ 79.   49.5   0.    1. ]
 [ 79.2  50.6   8.    7. ]
 [ 88.8  57.7  15.   21. ]
 [ 86.3  60.    1.    1. ]
 [ 97.   63.    4.    5. ]
 [ 96.5  67.    0.    1. ]
 [100.2  69.9  14.   13. ]
 [103.3  72.8   8.   26. ]
 [109.3  75.    2.    9. ]
 [103.8  71.3   9.   16. ]
 [ 83.   59.3   9.    4. ]
 [ 84.   56.    1.    6. ]
 [ 88.5  58.5   6.   14. ]
 [ 93.7  60.7  10.    3. ]
 [ 96.   66.7   6.    5. ]
 [100.   71.    5.    3. ]
 [102.7  75.   11.    3. ]
 [ 93.4  67.8  12.   24. ]
 [101.   69.   13.   12. ]
 [100.3  69.3   6.    2. ]
 [ 98.   66.5   4.    2. ]
 [ 92.2  61.2  17.   12. ]
 [ 88.7  57.    4.   13. ]
 [ 94.   59.5   0.    1. ]
 [ 97.   62.8  15.    7. ]
 [ 99.7  64.    6.    2. ]
 [ 98.2  65.4   6.   17. ]
 [ 96.7  64.7   4.    7. ]
