0
"[[ 231]
 [  99]
 [ 466]
 [ 133]
 [ 199]
 [ 399]
 [ 732]
 [ 266]
 [  99]
 [ 232]
 [ 365]
 [ 200]
 [ 233]
 [ 232]
 [ 532]
 [ 532]
 [ 299]
 [ 266]
 [ 132]
 [ 199]
 [ 233]
 [ 532]
 [  66]
 [ 299]
 [ 498]
 [ 133]
 [ 199]
 [ 199]
 [ 165]
 [ 232]
 [ 232]
 [ 199]
 [  99]
 [ 365]
 [ 199]
 [ 565]
 [ 433]
 [  99]
 [ 166]
 [ 266]
 [ 432]
 [ 499]
 [ 133]
 [ 199]
 [  99]
 [  67]
 [ 299]
 [ 133]
 [ 166]
 [ 365]
 [ 233]
 [  66]
 [ 166]
 [ 133]
 [ 399]
 [ 266]
 [ 233]
 [ 266]
 [ 133]
 [ 365]
 [ 332]
 [ 366]
 [ 798]
 [ 166]
 [ 233]
 [ 266]
 [ 765]
 [ 298]
 [  99]
 [ 232]
 [ 299]
 [ 465]
 [ 166]
 [ 166]
 [ 166]
 [ 998]
 [ 233]
 [ 166]
 [ 232]
 [ 432]
 [ 166]
 [ 166]
 [ 232]
 [  66]
 [ 166]
 [  66]
 [ 199]
 [ 332]
 [ 632]
 [ 199]
 [ 165]
 [ 100]
 [ 133]
 [ 333]
 [ 233]
 [  99]
 [ 166]
 [ 233]
 [ 300]
 [ 299]
 [ 168]
 [ 299]
 [ 299]
 [ 598]
 [ 164]
 [ 765]
 [ 798]
 [ 199]
 [  67]
 [ 166]
 [ 665]
 [  99]
 [  66]
 [ 232]
 [ 133]
 [ 565]
 [ 632]
 [ 332]
 [ 299]
 [ 399]
 [ 199]
 [  99]
 [  99]
 [ 696]
 [ 232]
 [ 399]
 [ 266]
 [  99]
 [ 199]
 [ 132]
 [ 165]
 [ 798]
 [  99]
 [ 266]
 [ 165]
 [ 265]
 [ 133]
 [ 366]
 [ 199]
 [ 132]
 [ 165]
 [ 332]
 [ 199]
 [ 332]
 [  99]
 [ 133]
 [  99]
 [ 133]
 [ 166]
 [ 166]
 [  66]
 [  99]
 [ 100]
 [ 132]
 [  66]
 [ 232]
 [  99]
 [  98]
 [  99]
 [ 199]
 [ 433]
 [ 133]
 [  99]
 [ 532]
 [ 200]
 [ 132]
 [  99]
 [  66]
 [ 233]
 [ 199]
 [ 365]
 [ 132]
 [ 165]
 [  99]
 [ 165]
 [ 233]
 [ 199]
 [ 199]
 [ 233]
 [ 233]
 [ 233]
 [ 299]
 [ 432]
 [1131]
 [ 332]
 [ 266]
 [  66]
 [ 133]
 [ 199]
 [  99]
 [ 598]
 [ 266]
 [ 299]
 [ 199]
 [  66]
 [ 233]
 [ 200]
 [ 266]
 [ 266]
 [ 100]
 [ 332]
 [ 132]
 [ 399]
 [  99]
 [  99]
 [ 266]
 [ 166]
 [ 331]
 [ 366]
 [ 398]
 [ 765]
 [  99]
 [  99]
 [ 199]
 [  64]
 [ 133]
 [ 233]
 [ 266]
 [ 299]
 [ 133]
 [ 665]
 [ 199]
 [  67]
 [  99]
 [ 433]
 [ 267]
 [  97]
 [  99]
 [  99]
 [  99]
 [ 166]
 [ 265]
 [ 166]
 [ 166]
 [ 199]
 [ 233]
 [ 299]
 [ 166]
 [ 232]
 [ 499]
 [ 632]
 [ 166]
 [1796]
 [ 133]
 [ 233]
 [ 133]
 [ 166]
 [ 199]
 [ 199]
 [  66]
 [ 233]
 [ 166]
 [  99]
 [ 232]
 [ 399]
 [  99]
 [ 332]
 [ 100]
 [ 266]
 [ 199]
 [ 133]
 [ 266]
 [ 166]
 [  99]
 [ 166]
 [ 303]
 [ 332]
 [  99]
 [ 199]
 [ 299]
 [ 100]
 [ 166]
 [ 166]
 [2129]
 [ 332]
 [ 631]
 [  99]
 [ 132]
 [ 133]
 [ 565]
 [1431]
 [ 166]
 [ 166]
 [ 799]
 [ 332]
 [ 532]
 [ 299]
 [1330]
 [ 265]
 [1064]
 [ 732]
 [ 632]
 [1164]
 [ 266]
 [ 865]
 [ 632]
 [1397]
 [ 465]
 [ 399]
 [ 432]
 [ 498]
 [ 565]
 [1230]
 [ 665]
 [4858]
 [1064]
 [ 100]
 [ 232]
 [ 333]
 [ 100]
 [  99]
 [ 232]
 [ 266]
 [ 465]
 [ 199]
 [ 266]
 [ 698]
 [ 232]
 [ 465]
 [  99]
 [ 366]
 [2229]
 [  99]
 [ 565]
 [1097]
 [1263]
 [ 332]
 [ 332]
 [1330]
 [  99]
 [ 433]
 [ 199]
 [ 665]
 [ 498]
 [  99]
 [ 132]
 [ 266]
 [  99]
 [ 199]
 [ 199]
 [ 299]
 [ 830]
 [ 132]
 [ 465]
 [ 265]
 [  66]
 [ 233]
 [ 132]
 [ 101]
 [ 199]
 [ 199]
 [ 265]
 [ 199]
 [ 199]
 [ 266]
 [ 260]
 [ 400]
 [ 366]
 [1164]
 [ 864]
 [1364]
 [ 499]
 [ 565]
 [ 931]
 [  66]
 [  99]
 [ 133]
 [ 199]
 [ 366]
 [ 133]
 [ 100]
 [ 166]
 [  65]
 [  98]
 [ 532]
 [ 166]
 [ 232]
 [ 133]
 [ 365]
 [ 565]
 [ 931]
 [  66]
 [  66]
 [ 266]
 [ 998]
 [ 366]
 [ 166]
 [  70]
 [ 331]
 [ 365]
 [ 133]
 [ 198]
 [ 267]
 [ 266]
 [ 532]
 [ 232]
 [ 266]
 [ 532]
 [ 799]]"
"[[ 133]
 [ 266]
 [  99]
 [  67]
 [ 299]
 [ 166]
 [ 267]
 [  99]
 [ 133]
 [ 232]
 [  66]
 [ 399]
 [  99]
 [ 133]
 [ 199]
 [ 199]
 [  99]
 [ 133]
 [ 532]
 [  99]
 [  99]
 [  99]
 [ 498]
 [ 300]
 [ 100]
 [ 166]
 [  66]
 [ 232]
 [ 166]
 [ 333]
 [  99]
 [ 166]
 [ 232]
 [ 100]
 [ 266]
 [ 166]
 [ 299]
 [ 332]
 [ 266]
 [ 265]
 [ 199]
 [ 365]
 [  99]
 [  66]
 [ 100]
 [ 399]
 [ 232]
 [ 465]
 [ 665]
 [ 299]
 [ 101]
 [ 565]
 [ 199]
 [ 169]
 [  99]
 [ 765]
 [  67]
 [ 232]
 [ 465]
 [  99]
 [1397]
 [  66]
 [ 232]
 [1064]
 [ 165]
 [ 565]
 [ 698]
 [ 598]
 [ 166]
 [1896]
 [1363]
 [ 133]
 [ 432]
 [1131]
 [ 901]
 [ 299]
 [ 299]
 [ 365]
 [ 366]
 [ 232]
 [ 299]
 [ 232]
 [ 166]
 [ 798]
 [ 532]
 [ 233]
 [ 432]
 [  99]
 [  66]
 [  99]
 [  99]
 [ 133]
 [ 100]
 [ 266]
 [ 266]
 [  99]
 [  66]
 [ 166]
 [ 166]
 [ 232]
 [ 465]
 [1364]
 [ 565]
 [ 199]
 [1065]
 [ 199]
 [ 732]
 [ 299]
 [ 233]
 [ 965]
 [ 264]
 [ 899]
 [  99]
 [ 265]
 [  67]
 [ 299]
 [  66]
 [ 232]
 [ 798]
 [1597]
 [ 399]
 [ 133]
 [ 232]
 [  66]
 [ 299]
 [ 166]
 [ 232]
 [ 299]
 [  99]
 [ 399]
 [ 365]
 [ 232]
 [ 166]
 [ 166]
 [ 133]
 [ 232]
 [ 266]
 [ 132]
 [ 133]
 [ 465]
 [ 165]
 [ 198]
 [ 332]
 [ 432]
 [ 166]
 [ 133]
 [ 232]
 [ 199]
 [  69]
 [  99]
 [ 199]
 [ 168]
 [  99]
 [ 332]
 [ 199]
 [ 232]
 [ 299]
 [ 332]
 [ 166]
 [ 199]
 [ 399]
 [ 499]
 [ 132]
 [  99]
 [ 332]
 [ 266]
 [ 267]
 [ 332]
 [ 565]
 [ 465]
 [ 166]
 [ 266]
 [ 598]
 [ 465]
 [ 465]
 [ 166]
 [ 897]
 [  99]
 [ 266]
 [ 199]
 [ 366]
 [  99]
 [ 233]
 [ 532]
 [ 532]
 [ 133]
 [ 698]
 [ 133]
 [ 332]
 [ 332]
 [ 498]
 [ 199]
 [ 631]
 [2429]
 [ 732]]"
"[[  99]
 [ 166]
 [  66]
 [ 199]
 [ 166]
 [ 134]
 [ 166]
 [ 133]
 [ 232]
 [  66]
 [  99]
 [ 233]
 [ 299]
 [  98]
 [ 632]
 [  99]
 [ 199]
 [ 100]
 [ 266]
 [  99]
 [ 299]
 [  99]
 [ 133]
 [  99]
 [ 166]
 [  99]
 [ 165]
 [ 199]
 [ 200]
 [ 232]
 [ 366]
 [ 100]
 [  99]
 [  99]
 [ 132]
 [ 199]
 [ 133]
 [  66]
 [ 100]
 [ 133]
 [ 331]
 [ 199]
 [ 133]
 [ 133]
 [  99]
 [  99]
 [ 133]
 [  98]
 [ 365]
 [ 133]
 [ 265]
 [  99]
 [ 132]
 [ 299]
 [ 200]
 [ 332]
 [ 133]
 [ 299]
 [ 398]
 [ 166]
 [  99]
 [ 364]
 [ 166]
 [ 299]
 [ 233]
 [ 199]
 [ 432]
 [ 299]
 [  99]
 [ 832]
 [ 232]
 [  99]
 [ 100]
 [ 166]
 [ 133]
 [ 432]
 [  99]
 [  99]
 [  99]
 [ 199]
 [  66]
 [  99]
 [ 232]
 [ 166]
 [  99]
 [ 232]
 [ 100]
 [ 133]
 [ 133]
 [ 133]
 [  99]
 [  66]
 [ 133]
 [  66]
 [  99]
 [ 331]
 [ 333]
 [ 266]
 [ 232]
 [ 299]
 [ 299]
 [ 166]
 [  99]
 [  99]
 [ 133]
 [ 133]
 [ 432]
 [ 199]
 [ 266]
 [ 232]
 [ 365]
 [ 266]
 [ 134]
 [ 365]
 [ 168]
 [  99]
 [ 199]
 [ 166]
 [ 399]
 [  99]
 [ 133]
 [ 399]
 [ 765]
 [  66]
 [ 199]
 [ 300]
 [ 299]
 [  66]
 [ 631]
 [  99]
 [ 166]
 [1231]
 [ 332]
 [  99]
 [ 299]
 [  99]
 [  97]
 [ 232]
 [ 132]
 [ 266]
 [ 266]
 [ 165]
 [  66]
 [ 232]
 [  66]
 [  66]
 [ 132]
 [  66]
 [ 399]
 [ 133]
 [ 166]
 [  66]
 [ 166]
 [ 465]
 [ 199]
 [ 166]
 [  99]
 [ 532]
 [ 133]
 [ 199]
 [ 299]
 [ 332]
 [ 165]
 [ 233]
 [ 266]
 [  66]
 [ 233]
 [ 166]
 [ 266]
 [  66]
 [ 199]
 [ 296]
 [ 166]
 [  66]
 [ 166]
 [ 233]
 [ 166]
 [ 100]
 [ 199]
 [ 100]
 [ 399]
 [ 499]
 [ 133]
 [ 166]
 [ 563]
 [ 100]
 [ 599]
 [ 132]
 [  99]
 [ 499]
 [ 132]
 [ 166]
 [ 133]
 [ 798]
 [  66]
 [ 233]
 [ 233]
 [ 166]
 [ 166]
 [ 169]
 [ 132]
 [ 266]
 [ 166]
 [ 134]
 [  99]
 [ 133]
 [  99]
 [ 432]
 [ 132]
 [ 233]
 [ 199]
 [  99]
 [ 165]
 [  66]
 [ 199]
 [ 100]
 [ 299]
 [ 432]
