0
"[[ 200]
 [  67]
 [  99]
 [ 132]
 [  66]
 [ 133]
 [  99]
 [  99]
 [ 332]
 [  99]
 [  99]
 [ 133]
 [  66]
 [  99]
 [ 199]
 [  66]
 [ 199]
 [ 133]
 [ 266]
 [ 299]
 [  99]
 [  99]
 [  99]
 [ 166]
 [  66]
 [ 133]
 [  66]
 [ 166]
 [  66]
 [ 366]
 [ 199]
 [ 432]
 [  66]
 [  66]
 [  99]
 [  99]
 [ 232]
 [ 299]
 [ 166]
 [ 333]
 [ 266]
 [ 199]
 [ 232]
 [ 132]
 [  66]
 [  66]
 [  99]
 [ 432]
 [ 133]
 [  66]
 [  66]
 [ 166]
 [ 166]
 [  99]
 [ 166]
 [ 166]
 [  99]
 [  66]
 [ 132]
 [ 199]
 [ 199]
 [ 133]
 [ 366]
 [  99]
 [ 166]
 [ 100]
 [  99]
 [  66]
 [  99]
 [  66]
 [  67]
 [  66]
 [ 167]
 [ 133]
 [ 164]
 [ 100]
 [  99]
 [ 166]
 [ 232]
 [  66]
 [  99]
 [  99]
 [ 299]
 [ 132]
 [ 299]
 [  99]
 [  66]
 [ 133]
 [  99]
 [ 201]
 [ 133]
 [ 166]
 [  66]
 [ 166]
 [ 233]
 [  99]
 [ 266]
 [ 332]
 [  99]
 [ 100]
 [ 400]
 [ 598]
 [  66]
 [  66]
 [ 299]
 [ 165]
 [ 199]
 [  99]
 [  66]
 [ 132]
 [  99]
 [  66]
 [ 100]
 [  65]
 [ 165]
 [  66]
 [ 166]
 [ 565]
 [ 166]
 [ 132]
 [1031]
 [  66]
 [  99]
 [ 132]
 [ 166]
 [  66]
 [  66]
 [ 264]
 [ 133]
 [  65]
 [  99]
 [  97]
 [ 233]
 [  99]
 [  99]
 [  99]
 [ 133]
 [ 166]
 [ 133]
 [  66]
 [  99]
 [  99]
 [ 199]
 [  99]
 [ 132]
 [ 133]
 [ 498]
 [ 166]
 [  66]
 [ 166]
 [ 232]
 [ 166]
 [  66]
 [ 132]
 [ 399]
 [ 432]
 [  99]
 [  99]
 [  99]
 [ 133]
 [  99]
 [  66]
 [ 333]
 [ 399]
 [  99]
 [ 266]
 [ 100]
 [ 167]
 [ 132]
 [ 166]
 [ 133]
 [ 433]
 [ 399]
 [ 199]
 [ 332]
 [  99]
 [ 133]
 [ 133]
 [  66]
 [ 199]
 [ 166]
 [  66]
 [ 133]
 [  66]
 [  66]
 [ 266]
 [ 166]
 [ 299]
 [ 166]
 [ 199]
 [ 166]
 [  66]
 [  66]
 [ 233]
 [  99]
 [ 166]
 [ 299]
 [ 199]
 [ 365]
 [  66]
 [ 232]
 [ 166]
 [ 399]
 [ 199]
 [ 132]
 [ 100]
 [ 133]
 [  99]
 [  66]
 [  66]
 [ 132]
 [  66]
 [ 133]
 [  99]
 [  99]
 [  99]
 [  66]
 [ 166]
 [ 166]
 [  99]
 [  99]
 [  66]
 [  66]
 [ 100]
 [ 133]
 [ 133]
 [  66]
 [  99]
 [ 100]
 [  99]
 [  66]
 [ 133]
 [  99]
 [  66]
 [  66]
 [  66]
 [  66]
 [ 233]
 [  99]
 [ 166]
 [ 133]
 [  66]
 [ 101]
 [  99]
 [ 233]
 [ 133]
 [  99]
 [  99]
 [ 199]
 [  66]
 [  99]
 [  99]
 [ 366]
 [ 132]
 [  67]
 [  99]
 [  66]
 [  99]
 [ 230]
 [ 232]
 [ 166]
 [  99]
 [ 133]
 [ 100]
 [  66]
 [  66]
 [  66]
 [ 100]
 [  99]
 [ 232]
 [  99]
 [ 133]
 [  66]
 [ 133]
 [ 298]
 [  66]
 [ 365]
 [ 265]
 [  66]
 [ 166]
 [ 199]
 [  99]
 [  66]
 [ 199]
 [  66]
 [  66]
 [ 199]
 [  66]
 [ 166]
 [ 199]
 [ 133]
 [ 130]
 [ 199]
 [ 232]
 [ 133]
 [ 199]
 [  99]
 [  99]
 [ 132]
 [  66]
 [ 265]
 [  66]
 [  66]
 [  66]
 [  99]
 [  99]
 [ 232]
 [ 131]
 [ 366]
 [ 199]
 [ 133]
 [ 233]
 [  99]
 [  65]
 [  99]
 [ 166]
 [  99]
 [  66]
 [ 198]
 [  99]
 [  99]
 [ 299]
 [  99]
 [  68]
 [ 133]
 [  66]
 [  66]
 [ 100]
 [ 133]
 [  66]
 [  99]
 [  66]
 [  66]
 [ 167]
 [  99]
 [ 133]
 [  99]
 [ 199]
 [ 100]
 [ 299]
 [  66]
 [ 266]
 [  99]
 [ 299]
 [  94]
 [  66]
 [  67]
 [  99]
 [  99]
 [  66]
 [  99]
 [  67]
 [ 133]
 [  66]
 [ 167]
 [  66]
 [  66]
 [ 100]
 [  66]
 [  99]
 [  66]
 [  99]
 [ 165]
 [ 133]
 [  99]
 [  99]
 [ 133]
 [  99]
 [ 199]
 [ 199]
 [ 100]
 [ 266]
 [ 100]
 [ 133]
 [  99]
 [  66]
 [  66]
 [ 101]
 [ 131]
 [ 132]
 [  66]
 [  66]
 [  66]
 [  99]
 [ 132]
 [  98]
 [ 100]
 [  66]
 [ 132]
 [  99]
 [  66]
 [  66]
 [ 166]
 [  99]
 [  99]
 [  66]
 [ 166]
 [ 132]
 [  99]
 [ 133]
 [  99]
 [  99]
 [  99]
 [ 166]
 [ 100]
 [ 100]
 [ 332]
 [ 199]
 [  99]
 [ 132]
 [  66]
 [  99]
 [ 166]
 [ 166]
 [  66]
 [ 233]
 [ 301]
 [ 532]
 [  99]
 [  99]
 [ 166]
 [ 133]
 [ 166]
 [  66]
 [  66]
 [  66]
 [ 132]
 [ 100]
 [ 133]
 [ 166]
 [  66]
 [  99]
 [ 299]
 [  66]
 [  66]
 [ 102]
 [ 195]
 [  99]
 [ 166]
 [  99]
 [ 200]
 [  99]
 [  99]
 [ 166]
 [ 532]
 [ 299]
 [ 132]
 [  69]
 [ 166]
 [ 199]
 [  99]
 [ 132]
 [  66]
 [ 265]
 [  66]
 [  66]
 [  66]
 [  99]
 [ 133]
 [ 166]
 [ 132]
 [  66]
 [ 131]
 [ 166]
 [ 133]
 [ 165]
 [ 200]
 [  99]
 [  66]
 [ 199]
 [ 133]
 [ 166]
 [ 199]
 [  99]
 [ 132]
 [ 166]
 [  66]
 [ 465]
 [ 365]
 [ 333]
 [ 133]
 [ 133]
 [ 465]
 [ 199]
 [ 133]
 [  99]
 [ 266]
 [  99]
 [ 100]
 [  99]
 [  66]
 [ 166]
 [ 233]
 [  66]
 [  99]
 [ 265]
 [ 100]
 [ 133]
 [  66]
 [ 334]
 [ 166]
 [ 199]
 [ 166]
 [  99]
 [  99]
 [ 232]
 [  66]
 [  99]
 [ 266]
 [ 133]
 [ 270]
 [  66]
 [ 266]
 [  66]
 [ 166]
 [ 132]
 [ 166]
 [  66]
 [  66]
 [ 132]
 [ 133]
 [ 102]
 [  99]
 [  66]
 [  99]
 [ 133]
 [ 166]
 [ 166]
 [ 199]
 [  66]
 [ 432]
 [  66]
 [ 166]
 [ 233]
 [  99]
 [ 132]
 [  66]
 [ 332]
 [ 233]
 [  66]
 [  99]
 [ 299]
 [  66]
 [ 232]
 [ 133]
 [ 132]
 [  99]
 [ 199]
 [ 266]
 [  99]
 [ 133]
 [ 232]
 [ 166]
 [ 232]
 [  66]
 [ 166]
 [ 133]
 [  99]
 [  99]
 [ 100]
 [  66]
 [ 266]
 [ 167]
 [  65]
 [  66]
 [  99]
 [ 166]
 [  66]
 [ 166]
 [ 133]
 [ 200]
 [  66]
 [  66]
 [ 231]
 [ 133]
 [ 100]
 [ 140]
 [ 332]
 [  99]
 [  99]
 [  66]
 [ 166]
 [  99]
 [  66]
 [  66]
 [  99]
 [  99]
 [ 133]
 [  66]
 [ 166]
 [ 166]
 [ 432]
 [  67]
 [ 100]
 [  99]
 [  66]
 [  67]
 [  99]
 [ 166]
 [  66]
 [ 166]
 [  66]
 [  99]
 [  66]
 [  66]
 [ 133]
 [  66]
 [ 232]
 [  99]
 [  66]
 [  99]
 [ 133]
 [ 399]
 [  99]
 [  66]
 [ 100]
 [ 133]
 [  99]
 [  99]
 [ 133]
 [ 199]
 [ 432]
 [ 166]
 [ 199]
 [ 266]
 [ 232]
 [  99]
 [  66]
 [  99]
 [  98]
 [ 132]
 [  66]
 [  66]
 [  66]
 [ 132]
 [ 199]
 [ 133]
 [  99]
 [ 266]
 [  66]
 [ 132]
 [ 100]
 [  66]
 [  99]
 [ 133]
 [  67]
 [  66]
 [ 199]
 [  66]
 [ 266]
 [  99]
 [ 132]
 [ 133]
 [  99]
 [ 132]
 [ 199]
 [ 132]
 [ 332]
 [  66]
 [  98]
 [ 232]
 [  99]
 [ 133]
 [ 100]
 [ 233]
 [  66]
 [ 199]
 [ 132]
 [ 166]
 [  66]
 [  69]
 [ 133]
 [  99]
 [ 133]
 [  66]
 [  66]]"
"[[166]
 [133]
 [ 66]
 [ 65]
 [199]
 [ 99]
 [266]
 [166]
 [ 67]
 [133]
 [ 99]
 [133]
 [133]
 [ 66]
 [ 66]
 [ 99]
 [133]
 [ 99]
 [ 99]
 [ 99]
 [199]
 [ 99]
 [ 99]
 [ 99]
 [ 98]
 [199]
 [132]
 [ 67]
 [ 66]
 [ 66]
 [ 67]
 [232]
 [132]
 [ 66]
 [166]
 [ 99]
 [166]
 [ 99]
 [133]
 [133]
 [ 99]
 [199]
 [233]
 [ 99]
 [133]
 [ 66]
 [133]
 [ 99]
 [167]
 [ 99]
 [133]
 [ 66]
 [194]
 [ 99]
 [ 66]
 [133]
 [101]
 [133]
 [200]
 [ 66]
 [166]
 [199]
 [232]
 [202]
 [100]
 [132]
 [166]
 [ 99]
 [ 66]
 [ 98]
 [ 99]
 [ 99]
 [ 99]
 [ 99]
 [166]
 [ 99]
 [232]
 [ 99]
 [ 99]
 [100]
 [366]
 [267]
 [100]
 [ 99]
 [133]
 [ 99]
 [133]
 [166]
 [ 66]
 [166]
 [166]
 [ 66]
 [ 66]
 [ 99]
 [ 99]
 [ 66]
 [ 66]
 [ 99]
 [ 66]
 [ 66]
 [ 99]
 [ 66]
 [ 82]
 [ 99]
 [ 98]
 [133]
 [ 99]
 [101]
 [ 66]
 [ 99]
 [232]
 [ 99]
 [133]
 [133]
 [ 99]
 [ 66]
 [232]
 [ 66]
 [ 99]
 [199]
 [133]
 [ 66]
 [ 99]
 [199]
 [203]
 [ 99]
 [465]
 [ 66]
 [299]
 [ 99]
 [ 66]
 [166]
 [ 66]
 [ 99]
 [197]
 [133]
 [199]
 [ 66]
 [ 66]
 [ 66]
 [ 66]
 [132]
 [199]
 [166]
 [ 99]
 [ 99]
 [266]
 [ 99]
 [ 66]
 [ 66]
 [ 99]
 [264]
 [166]
 [ 66]
 [133]
 [ 66]
 [ 66]
 [133]
 [166]
 [133]
 [199]
 [ 67]
 [ 66]
 [101]
 [367]
 [133]
 [100]
 [ 99]
 [ 98]
 [133]
 [332]
 [ 66]
 [166]
 [332]
 [ 66]
 [299]
 [ 99]
 [ 66]
 [199]
 [133]
 [ 97]
 [166]
 [ 66]
 [232]
 [ 66]
 [ 99]
 [ 66]
 [166]
 [ 66]
