0
"[[ 84.6  61.9  13.    2. ]
 [ 84.5  65.5   0.    0. ]
 [ 86.5  75.3   2.    2. ]
 ...
 [ 51.   34.8   2.    3. ]
 [ 50.1  36.5   3.   35. ]
 [ 60.7  59.2  52.  403. ]]"
"[[102.4  72.   17.   27. ]
 [ 92.4  71.2   9.    4. ]
 [ 83.4  58.5  11.   47. ]
 ...
 [ 99.8  64.   10.   48. ]
 [101.5  65.4   5.   43. ]
 [ 97.   70.6  45.  139. ]]"
"[[55.2 46.   1.   4. ]
 [58.5 49.8  3.   3. ]
 [64.2 46.9  8.   6. ]
 ...
 [81.5 57.4  3.   6. ]
 [79.3 57.   5.  11. ]
 [84.5 60.4  2.   5. ]]"
"[[60.  40.9  7.   7. ]
 [66.3 49.9 16.   7. ]
 [65.  47.3  8.   6. ]
 ...
 [59.7 45.1 12.  17. ]
 [48.8 43.8  2.   6. ]
 [47.2 42.2  6.   2. ]]"
"[[80.5 57.2  8.   4. ]
 [77.3 55.3  9.  10. ]
 [78.  55.3  6.   9. ]
 ...
 [94.1 78.4  4.  23. ]
 [93.1 73.7  3.   6. ]
 [95.  74.6  8.   7. ]]"
"[[73.8 53.8  2.  10. ]
 [69.  55.2  5.   4. ]
 [59.8 48.   3.   3. ]
 ...
 [58.  46.   4.  11. ]
 [52.9 40.4 29.  44. ]
 [47.8 36.2  3.  46. ]]"
"[[51.8 39.5 57.  13. ]
 [55.7 41.3 12.   3. ]
 [56.  42.  19.   6. ]
 ...
 [65.8 46.8  4.  10. ]
 [60.3 47.7  4.   9. ]
 [61.  49.   0.   3. ]]"
"[[51.8 40.   1.   2. ]
 [54.5 43.5  1.   0. ]
 [54.7 36.2  9.   7. ]
 ...
 [42.  32.   2.   0. ]
 [47.6 38.7  3.   3. ]
 [49.5 42.4  3.   8. ]]"
"[[86.  64.  10.  30. ]
 [69.9 52.8 25.  65. ]
 [57.8 48.8 49.  27. ]
 ...
 [51.3 48.   2.   5. ]
 [49.7 47.2  8.  14. ]
 [49.  46.3  7.   9. ]]"
"[[ 52.6  35.1  11.   13. ]
 [ 58.8  39.6   5.    4. ]
 [ 60.3  41.    8.    3. ]
 ...
 [ 81.   72.  265.   90. ]
 [ 84.   68.    8.    9. ]
 [ 82.9  67.6  66.   46. ]]"
"[[ 49.   35.3   2.    9. ]
 [ 53.6  41.    3.    5. ]
 [ 63.5  50.9  19.   15. ]
 [ 67.1  51.1   9.    3. ]
 [ 64.3  52.3  17.    2. ]
 [ 70.8  58.5  25.   10. ]
 [ 70.3  51.8   7.    3. ]
 [ 71.5  52.5  22.    4. ]
 [ 74.7  57.5   4.    6. ]
 [ 75.3  55.3   5.    1. ]
 [ 77.8  56.   22.    3. ]
 [ 78.7  57.3  15.    5. ]
 [ 80.6  63.    2.    5. ]
 [ 79.5  65.    1.    2. ]
 [ 78.4  63.1   3.    8. ]
 [ 76.5  55.7   8.   17. ]
 [ 77.8  57.    0.    1. ]
 [ 67.3  49.4   3.   19. ]
 [ 60.8  45.2  14.    5. ]
 [ 62.5  46.5   5.   21. ]
 [ 61.   49.    6.    2. ]
 [ 60.3  49.2  24.   20. ]
 [ 60.7  49.    6.   10. ]
 [ 63.6  47.4   3.   14. ]
 [ 67.   49.7   1.   12. ]
 [ 70.8  51.3   4.   19. ]
 [ 73.8  53.8  10.   14. ]
 [ 78.   58.8   6.    6. ]
 [ 73.9  57.   18.   32. ]
 [ 67.7  53.6  48.   34. ]
 [ 66.   50.    7.    6. ]
 [ 66.2  49.2   5.   10. ]
 [ 67.5  50.    1.    0. ]
 [ 68.   50.    9.   13. ]
 [ 70.3  56.  120.  119. ]
 [ 71.8  60.4  34.   44. ]
 [ 71.8  57.2   6.    1. ]
 [ 75.   59.7  19.   12. ]
 [ 78.   61.    2.    3. ]
 [ 79.9  62.8  27.   34. ]
 [ 81.1  62.4   2.    3. ]
 [ 83.8  64.1   3.    7. ]
 [ 68.3  50.5   8.   12. ]
 [ 73.6  58.3   3.    8. ]
 [ 71.   53.6  11.    7. ]
 [ 72.8  57.8   2.    4. ]
 [ 72.4  55.6   9.    4. ]
 [ 76.   59.7   7.   12. ]
 [ 78.7  62.    3.    2. ]
 [ 66.5  52.5   4.    6. ]
 [ 67.4  59.7   7.    4. ]
 [ 69.   65.    0.    3. ]
 [ 77.   60.2  16.   28. ]
 [ 85.7  65.    1.    6. ]
 [ 87.3  65.2   3.    5. ]
 [ 88.4  68.1   1.    1. ]
 [ 89.3  68.7   2.    4. ]
 [ 89.7  64.    4.    4. ]
 [ 86.3  67.7  28.    7. ]
 [ 85.7  63.   20.   33. ]
 [ 80.9  61.2  38.   26. ]
 [ 80.9  66.1  41.    8. ]
 [ 81.7  66.7  11.    4. ]
 [ 85.4  67.1   5.   11. ]
 [ 82.   61.5   5.    1. ]
 [ 82.6  62.9  13.   42. ]
 [ 82.3  64.5  55.   24. ]
 [ 80.9  62.3  15.   21. ]
 [ 78.3  58.    1.    4. ]
 [ 78.5  57.9  15.    9. ]
