0
"[[66.   1.8]
 [66.   0.5]
 [66.   1.2]
 ...
 [65.   4.5]
 [66.   0.6]
 [66.   3.3]]"
"[[ 65.    1.4]
 [ 66.    8.1]
 [ 66.    1.7]
 [ 66.    8.1]
 [ 66.    3.9]
 [ 99.    3.7]
 [ 67.    3.6]
 [ 66.    5.1]
 [ 66.    1.5]
 [ 66.    4.7]
 [166.    4.6]
 [ 66.    2. ]
 [ 66.    0.6]
 [ 66.   11.7]
 [ 66.    0.8]
 [ 66.    0.6]
 [ 66.    1.2]
 [ 66.    4.8]
 [ 66.    0.8]
 [ 65.    3.2]
 [ 66.    3.6]
 [ 66.    0.7]
 [ 66.   10.2]
 [ 66.    1.9]
 [ 66.    6.6]
 [ 66.    1.5]
 [ 66.    1.9]
 [ 99.    7.9]
 [ 66.    6.5]
 [ 66.    6.4]
 [ 99.    3.1]
 [ 65.    0.5]
 [ 66.    1.4]
 [ 66.    1.9]
 [ 66.    6. ]
 [ 66.    0.8]
 [ 99.   16.4]
 [ 66.    9.7]
 [ 66.    9.8]
 [134.    1.2]
 [ 66.    1.1]
 [ 66.    1.8]
 [ 66.    2.2]
 [133.    3.4]
 [166.    9.6]
 [ 66.    5.1]
 [ 66.    1.4]
 [100.    1.9]
 [ 67.    0.8]
 [ 66.    0.6]
 [ 66.    1.4]
 [ 66.    4.1]
 [ 65.    8. ]
 [ 66.    0.7]
 [ 66.    0.6]
 [ 66.    1.9]
 [ 62.    6.4]
 [ 66.    6. ]
 [ 66.    7. ]
 [ 66.    0.6]
 [ 99.    7.8]
 [ 66.    1.9]
 [ 66.    8.6]
 [ 66.   11.7]
 [ 66.    9.2]
 [ 66.    7.9]
 [ 99.   17.1]
 [ 66.    7.6]
 [ 66.   16.9]
 [ 99.   10.3]
 [ 66.    7.9]
 [ 67.    1. ]
 [ 66.    5.4]
 [ 66.    1.8]
 [ 65.    4.4]
 [ 66.    2.2]
 [ 66.    3.5]
 [ 66.    4.2]
 [ 67.    7.8]
 [ 66.    2.9]
 [ 66.    1.3]
 [ 66.    0.9]
 [ 66.    1.7]
 [ 66.    3.4]
 [ 66.    5. ]
 [ 65.    6.2]
 [ 66.    1.1]
 [ 65.    8.3]
 [133.    4.5]
 [ 66.    1.2]
 [ 66.    0.9]
 [ 99.    0.9]
 [ 66.    1.1]
 [ 66.    4.1]
 [ 66.    6. ]
 [ 66.    0.7]
 [ 67.    2.3]
 [ 99.    1.3]
 [ 66.    2. ]
 [ 66.   10.2]
 [ 66.    2.2]
 [ 66.    5.7]
 [ 66.    2.1]
 [ 99.    2.5]
 [ 66.    1.3]
 [ 65.    2.3]
 [ 99.    1.9]
 [ 67.    7.4]
 [ 66.    1.8]
 [ 66.    8.9]
 [ 66.    0.9]
 [100.    1.1]
 [ 66.    2.5]
 [133.    5.1]
 [ 66.    1.2]
 [ 99.   11.9]
 [ 66.    3.2]
 [133.   18.5]
 [ 66.    0.9]
 [ 66.   10.1]
 [ 66.   13. ]
 [ 66.    6.1]
 [ 66.   11.9]
