0
"[[ 99.   12.6]
 [ 99.    0.9]
 [ 66.    1. ]
 [ 66.    6.3]
 [ 99.    7.6]
 [ 66.    2. ]
 [ 66.    0.5]
 [ 66.    5.1]
 [ 66.    0.6]
 [ 66.   13.5]
 [ 67.   12. ]
 [ 99.    4.7]
 [ 66.    2. ]
 [ 66.    3. ]
 [100.    2.6]
 [ 67.    2.5]
 [ 66.    8.5]
 [ 66.    1.5]
 [ 66.    0.8]
 [ 99.    8.6]
 [100.    2.6]
 [ 99.    3.4]
 [133.    2.6]
 [ 66.    2.1]
 [166.    6.5]
 [ 66.    2.6]
 [ 66.    1.4]
 [ 66.    1.9]
 [ 66.    4.4]
 [ 66.    2.6]
 [ 66.    4.4]
 [ 66.    3.4]
 [100.    1.1]
 [ 66.    8.4]
 [ 66.    0.5]
 [ 66.    1.7]
 [134.    3.1]
 [ 66.    3.9]
 [ 66.    3.3]
 [ 69.    0.5]
 [ 66.    0.5]
 [ 67.    2.3]
 [ 66.    0.6]
 [ 66.    0.5]
 [ 66.    0.9]
 [ 96.    4.4]
 [ 66.    1.9]
 [ 66.    3. ]
 [ 66.    7.4]
 [ 99.    0.9]
 [ 66.    1.7]
 [100.   10.7]
 [ 66.    0.4]
 [ 66.    1.6]
 [ 66.    4.6]
 [ 66.    2.6]
 [ 66.   13.7]
 [ 66.   15.1]
 [ 66.    2.9]
 [ 99.    3.1]
 [ 66.    8. ]
 [ 66.    6.8]
 [ 66.    3.5]
 [ 66.    0.7]
 [ 66.    0.5]
 [ 66.    2. ]
 [ 99.   13.9]
 [ 66.   11.3]
 [ 66.    4.4]
 [ 99.   10.9]
 [ 99.    3.1]
 [ 66.    0.5]
 [ 66.    0.5]
 [133.    8. ]
 [ 99.    9.6]
 [100.    8.1]
 [133.    2.4]
 [ 64.    0.4]
 [ 67.    6.2]
 [ 99.   12.9]
 [100.    1.7]
 [ 99.   12.4]
 [ 66.    2. ]
 [ 66.    0.6]
 [ 66.    2.5]
 [ 66.    0.5]
 [132.   14.8]
 [ 66.    2.3]
 [ 66.   10.7]
 [ 99.   11.3]
 [ 66.    1.9]
 [ 98.    2.7]
 [ 67.   10.4]
 [ 66.    3.1]
 [ 99.    9.1]
 [100.    2.4]
 [ 66.    3.2]
 [ 66.    1.6]
 [ 67.    1.5]
 [ 66.    9. ]
 [ 99.    2.8]
 [100.    9.9]
 [ 66.    1.4]
 [ 99.    3.3]
 [ 67.    0.9]
 [ 66.    0.8]
 [ 66.    1.5]
 [ 66.    2.5]
 [ 66.    3. ]
 [ 66.    1.6]
 [ 66.    2.6]
 [ 67.    2.5]
 [ 99.   21.4]
 [ 66.    2.6]
 [ 99.   24.7]
 [ 66.    1.4]
 [ 66.    1.2]
 [ 66.    1.7]
 [ 66.    1.5]
 [ 66.    2.4]
 [ 66.    1.1]
 [ 99.    5.5]
 [ 66.    0.7]
 [ 99.    4.5]
 [ 66.    2.3]
 [133.   16.2]
 [ 99.   15.9]
 [ 66.    3. ]
 [ 66.    0.5]
 [ 66.    1.9]
 [ 66.    5.5]
 [ 66.    7.5]
 [ 99.    3. ]
 [ 66.   13.3]
 [ 66.    0.6]
 [ 66.    8.3]
 [ 66.    6. ]
 [ 66.    9.8]
 [ 99.   25.7]
 [ 66.    0.7]
 [ 66.    0.6]
 [ 99.    3.4]
 [ 66.    0.5]
 [ 66.    0.5]
 [133.   19. ]
 [ 66.    2.4]
 [ 99.   12.2]
 [ 66.    3.6]
 [ 99.    9.4]
 [100.    2.8]
 [ 66.    6.1]
 [ 66.    0.5]
 [ 66.    6.9]
 [ 99.   17.9]
 [ 66.    1.7]
