0
"[[ 66.   57.    2.    3. ]
 [ 65.3  57.5   0.    2. ]
 [ 66.6  55.3   3.    6. ]
 ...
 [124.1 110.7   4.    5. ]
 [123.5 109.3   1.    6. ]
 [124.2 104.    1.    5. ]]"
"[[ 66.   57.    2.    3. ]
 [ 65.3  57.5   0.    2. ]
 [ 66.6  55.3   3.    6. ]
 ...
 [113.7  91.4   4.    5. ]
 [114.   94.7   1.    1. ]
 [114.8  94.    3.    5. ]]"
"[[114.  104.5   0.   26. ]
 [118.  107.8   8.   23. ]
 [113.  106.5  18.   50. ]
 ...
 [ 99.3  95.7   0.    4. ]
 [ 96.   94.3   0.    4. ]
 [ 89.3  75.3   3.    2. ]]"
"[[100.   79.    6.   55. ]
 [ 84.3  81.3   2.    5. ]
 [ 82.8  69.2   3.   14. ]
 ...
 [ 78.9  72.7   5.   27. ]
 [ 72.7  71.7   4.   10. ]
 [ 73.6  75.4   1.    1. ]]"
"[[ 82.3  76.3   1.    0. ]
 [ 84.   79.    3.    4. ]
 [ 86.3  80.8   2.    1. ]
 ...
 [104.   91.7   0.    2. ]
 [103.4 106.2   3.   10. ]
 [ 98.3 100.7   2.    4. ]]"
"[[ 67.   53.7   4.    4. ]
 [ 67.6  54.3   0.    2. ]
 [ 70.8  52.8   1.    1. ]
 ...
 [110.7  83.8  11.    3. ]
 [115.1  87.    6.    2. ]
 [114.5  88.8  40.   36. ]]"
"[[104.  105.3   1.    4. ]
 [106.3 107.9   5.    7. ]
 [109.5 108.    2.    0. ]
 ...
 [ 72.8  66.5   3.    3. ]
 [ 69.2  66.2  27.   10. ]
 [ 71.7  69.   23.    7. ]]"
"[[ 83.   71.8   4.    3. ]
 [ 88.8  71.    0.    6. ]
 [ 91.3  64.7   4.    6. ]
 ...
 [121.  109.5  33.   48. ]
 [121.  109.    0.    0. ]
 [123.4 112.7  51.   15. ]]"
"[[113.7 106.7   1.    3. ]
 [116.4 111.6   4.   10. ]
 [113.8 107.6   6.    7. ]
 ...
 [ 74.3  59.    4.    2. ]
 [ 75.   69.3  25.   67. ]
 [ 72.8  59.5   1.    0. ]]"
"[[71.5 58.   2.   2. ]
 [72.2 56.5  2.   7. ]
 [78.7 61.8  2.   2. ]
 ...
 [86.5 67.5 29.   6. ]
 [79.3 65.6  2.  10. ]
 [82.2 68.6  5.   5. ]]"
"[[ 77.   59.3   1.    2. ]
 [ 69.2  55.5   4.    7. ]
 [ 75.   57.8  10.    4. ]
 ...
 [112.9  91.3  45.    7. ]
 [114.7  98.    4.   10. ]
 [116.3  97.5   4.   25. ]]"
"[[ 83.1  62.6  26.  111. ]
 [ 74.5  61.2  17.   24. ]
 [ 80.   67.    1.    3. ]
 [ 80.7  67.3  13.    1. ]
 [ 80.6  72.    9.    3. ]
 [ 79.2  66.6   6.   10. ]
 [ 79.   60.    7.    9. ]
 [ 85.9  74.   92.   22. ]
 [ 80.2  60.    4.   11. ]
 [ 85.4  61.6  11.   14. ]
 [ 88.3  82.5   3.   13. ]
 [ 77.1  71.6   8.    8. ]
 [ 72.3  64.8  56.   18. ]
 [ 69.5  63.3  10.    7. ]
 [ 71.8  64.8  13.    3. ]
 [ 71.5  65.    0.    3. ]
