0
"[[ 66.   22.4]
 [ 99.   15. ]
 [ 66.    1.4]
 [ 66.    1.9]
 [ 66.   13. ]
 [133.   12.6]
 [ 66.    1.7]
 [ 66.    6.6]
 [133.   13.3]
 [ 66.    7. ]
 [ 66.   13.7]
 [ 66.    6.2]
 [ 66.    1.5]
 [ 68.   11.2]
 [ 66.    7.5]
 [ 66.    1.5]
 [ 99.    3. ]
 [ 66.    4.7]
 [ 67.    2.5]
 [ 66.    0.9]
 [ 68.    2.4]
 [132.   19.4]
 [200.   33.6]
 [ 66.    9.6]
 [ 99.   12.8]
 [ 66.    2.7]
 [132.   23.5]
 [ 64.   14.1]
 [ 99.   17.6]
 [ 66.    4.3]
 [ 66.   12.9]
 [ 66.    1.8]
 [ 66.    7.6]
 [ 67.    8.7]
 [ 66.   11. ]
 [ 66.    7. ]
 [ 66.   11.6]
 [133.   19.6]
 [ 65.   24.8]
 [ 66.   13. ]
 [ 65.   10.2]
 [ 66.   11. ]
 [ 99.   13.3]
 [ 66.    1.6]
 [ 66.    3.5]
 [ 99.    1.9]
 [ 66.    1. ]
 [ 66.    3.7]
 [133.   25.4]
 [133.   15.8]
 [ 67.   26. ]
 [ 66.   19.2]
 [ 99.    2. ]
 [ 66.   11.2]
 [ 66.    9.8]
 [ 66.    0.9]
 [ 66.    0.7]
 [ 67.    1. ]
 [ 66.    1.3]
 [ 66.    7.1]
 [ 67.    5.7]
 [ 66.    2.8]
 [ 66.    6.4]
 [ 66.    9.7]
 [100.    3.9]
 [ 66.    8.1]
 [ 99.    1.1]
 [ 99.    2.5]
 [133.    1.2]
 [ 66.    0.4]
 [ 66.    4.7]
 [ 63.    3.2]
 [ 70.   12.2]
 [ 66.    8. ]
 [ 66.    3.8]
 [ 99.   10.7]
 [ 66.    9.2]
 [ 66.    2.8]
 [199.   19.6]
 [132.   21.8]
 [ 99.   55.8]
 [ 66.    8. ]
 [ 63.    0.9]
 [ 67.    7.4]
 [ 66.    0.9]
 [ 66.   18.4]
 [ 66.    1.1]
 [ 67.    3.8]
 [ 66.    0.4]
 [ 66.    3.3]
 [ 66.    2.8]
 [ 66.    1.7]
 [ 66.    9.8]
 [ 66.   17.2]
 [ 66.   14.8]
 [133.    9.6]
 [ 66.   16.5]
 [ 66.    0.8]
 [ 99.    1.2]
 [133.   16.5]
 [ 99.    0.8]
 [ 66.   10.1]
 [ 66.    8.8]
 [ 66.    1.8]
 [ 66.    1.1]
 [ 66.   10.4]
 [ 66.    4.1]
 [ 66.    5.5]
 [ 66.    1.7]
 [ 66.    8. ]
 [ 66.   15.9]
 [ 81.   17.4]
 [132.   21.8]
 [ 66.    5.2]
 [ 66.    1.2]
 [ 66.   17.2]
 [ 66.   12.3]
 [ 66.    3. ]
 [ 99.   20. ]
 [ 66.   11.2]
 [ 99.   15.5]
 [133.   19.6]
 [ 99.    9.4]
 [ 66.    5.5]
 [ 66.    0.4]
 [166.   16.3]
 [ 66.    0.7]
 [ 66.    0.8]
 [ 66.    0.8]
 [ 66.    1.6]
 [ 66.    1.3]
 [100.    1.2]
 [ 66.    2.9]
 [ 66.    0.4]
 [ 66.    1.1]
 [ 66.    2.2]
 [ 66.   15.8]
 [133.   15.4]
 [ 66.    2.5]
 [133.    5.2]
 [ 66.    5.7]
 [ 66.    7.3]
 [ 67.    0.5]
 [ 66.    0.9]
 [ 66.    1.3]
 [ 67.   13.5]
 [ 66.    2.8]
 [ 66.    2.1]
 [133.    4. ]
 [ 66.   10.9]
 [ 66.   12.5]
 [ 66.   12.5]
 [ 66.    1.1]
 [ 66.    1.1]
 [ 66.    1.3]
 [ 66.    2.7]
 [ 66.    3.4]
 [ 66.    1. ]
 [ 66.    0.6]
 [ 66.    4. ]
 [ 67.    0.7]
 [ 66.    2.3]
 [ 66.    6.2]
 [ 99.    1.8]
 [ 66.    1.2]
 [ 99.    3.3]
 [ 66.    2.3]
 [ 66.    3.6]
 [133.   16.7]
 [ 99.   17.2]
 [ 99.   27.7]
 [ 67.    0.5]
 [166.   22.9]
 [ 66.   10.4]
 [ 99.   24.3]
 [132.   22.2]
 [ 67.    9.2]
 [133.   26.5]
 [ 67.    6.6]
 [ 66.   10.5]
 [ 66.    9.8]
 [100.   13.7]
 [ 66.    1.6]
 [ 65.    7. ]
 [ 99.    2. ]
 [ 99.   21.9]
 [ 65.    5.1]
 [ 66.    9.4]
 [ 66.   23.4]
 [ 66.    0.6]
 [ 66.   12.5]
 [ 66.    1.6]
 [ 66.    1.5]
 [ 66.    1.1]
 [ 66.    0.4]
 [ 66.    1.2]
 [ 65.    3.4]
 [ 66.    1.2]
 [ 99.    5.2]
 [ 66.    0.5]
 [ 66.    0.7]
 [ 66.    0.7]
 [ 66.    0.5]
 [100.   12.8]
 [ 66.    2.5]
 [ 67.    5.8]
 [ 66.    0.4]
 [ 66.    0.4]
 [ 66.    1.7]
 [100.    4. ]
 [ 66.    6.7]
 [100.    1.1]
 [ 66.    5.3]
 [ 66.   14.9]
 [ 66.    4.2]
 [133.   22.7]
 [ 66.    7.1]
 [ 67.    3.1]
 [100.   14.7]
 [ 65.    9.2]
 [ 66.    0.6]
 [ 66.    2.8]
 [ 65.    2.4]
 [ 66.    1.5]
 [ 66.    8.9]
 [ 66.    2.2]
 [ 99.    4.8]
 [ 66.    1.7]
 [ 99.    1.4]
 [ 99.   18.9]
 [ 66.    3.6]
 [ 66.    0.6]
 [ 66.    1.2]
 [ 66.    5.1]
 [ 66.    5. ]
 [ 66.    0.8]
 [ 99.   18.6]
 [ 66.    5.6]
 [ 67.    3.4]
 [ 66.    4.6]
 [ 66.    5.2]
 [ 99.    0.8]
 [ 66.    1. ]
 [ 66.    0.4]
 [ 66.    0.6]
 [ 99.    0.5]]"
"[[ 65.   11.6]
 [ 67.   10.3]
 [100.   15.4]
 [ 67.   25. ]
 [ 67.    1.5]
 [ 66.   15.4]
 [ 66.   14.1]
 [166.   13.4]
 [ 99.    2.5]
 [166.    8.4]
 [ 66.    3.5]
 [ 67.    0.4]
 [ 66.    0.5]
 [ 66.    1.1]
 [ 66.    0.7]
 [ 66.    2.7]
 [ 66.    8.7]
 [ 99.   15.6]
 [133.   20. ]
 [ 66.    8.1]
 [ 66.    4.4]
 [ 66.   12. ]
 [ 66.    0.4]
 [ 66.    8.2]
 [ 66.   18.5]
 [ 66.    0.5]
 [ 66.    0.5]
 [ 66.   13.7]
 [ 66.   11.6]
 [199.   20.3]
 [ 66.    3.1]
 [ 66.    1.8]
 [ 66.    3.6]
 [ 66.   12. ]
 [ 66.   11.3]
 [ 66.    3.9]
 [132.   20. ]
 [ 66.    0.7]
 [ 66.    7.7]
 [ 66.    7.4]
 [ 99.   10.5]
 [ 67.    1.4]
 [ 66.   11.7]
 [133.   25.9]
 [ 66.    0.6]
 [100.    1. ]
 [ 66.    0.5]
 [133.   16.2]
 [ 66.    1.2]
 [100.   17.3]
 [ 66.   14.8]
 [ 66.    3.4]
 [ 67.    5.2]
 [ 99.   14. ]
 [ 66.    2.5]
 [ 66.    1.1]
 [133.    1.5]
 [ 66.    0.8]
