0
"[[ 79.7  55.7   0.    0. ]
 [ 83.3  59.8   3.    3. ]
 [ 87.1  66.    3.    1. ]
 ...
 [104.4  81.    7.    1. ]
 [101.6  80.    5.   10. ]
 [ 97.8  76.8  63.    3. ]]"
"[[ 99.2  74.2  42.   10. ]
 [101.1  74.    7.    5. ]
 [100.4  74.8  26.   10. ]
 [101.4  80.1   7.    5. ]
 [ 97.3  80.5  22.    5. ]
 [101.3  79.2  71.   20. ]
 [102.8  81.8  15.    3. ]
 [ 98.1  81.1  14.   14. ]
 [102.7  80.2   6.    1. ]
 [ 99.5  71.5   8.    7. ]
 [101.5  85.5  15.    6. ]
 [105.8  79.5   4.    1. ]
 [106.2  77.2  18.    6. ]
 [104.2  77.8  30.   71. ]
 [108.7  84.    1.    5. ]
 [108.   79.5   2.    1. ]
 [108.7  79.7  25.   13. ]
 [107.3  85.6  13.   14. ]
 [112.6  78.   12.   12. ]
 [112.6  76.7  21.   25. ]
 [114.   79.5   5.    3. ]
 [114.4  94.6   3.    2. ]
 [113.   86.8   8.   12. ]
 [109.9  86.7  14.    9. ]
 [104.   77.6   2.    3. ]
 [108.3  86.2   6.   13. ]
 [113.7  86.4   5.    7. ]
 [112.7  83.2  13.    8. ]
 [111.5  87.    4.    7. ]
 [105.3  79.5  19.   17. ]
 [110.6  87.2   4.    2. ]
 [110.5  83.6  25.    9. ]
 [116.  101.    1.    1. ]
 [116.6  93.7  13.    5. ]
 [118.9  96.   12.   10. ]
 [123.9  97.6  17.    3. ]
 [123.2  97.9  27.   18. ]
 [125.9  99.3   1.    2. ]
 [124.1  98.4   5.    4. ]
 [122.4 100.1   5.    3. ]
 [119.9  99.5   6.    6. ]
 [123.  101.6   2.    2. ]
 [124.3 103.3   3.    2. ]
 [127.8 113.2   7.    7. ]
 [117.2  96.8   3.    3. ]
 [115.9  97.6   4.    6. ]
 [118.   99.4   3.    2. ]
 [117.1  98.    3.    2. ]
 [116.   90.3   5.    5. ]
 [113.1  86.2   9.    9. ]
 [117.   91.    2.    1. ]
 [118.5  99.1   4.    4. ]
 [118.3  90.7   4.    4. ]
 [120.3  91.    5.    6. ]
 [117.5  92.2   7.   13. ]
 [115.8  92.    7.    3. ]
 [117.   90.6   7.    9. ]
 [120.4 103.1  19.   37. ]
 [124.1 100.2  40.   29. ]
 [124.8 100.2  26.    8. ]
 [123.   99.3  10.    3. ]
 [124.2 102.9  14.   17. ]
 [127.5 106.3  10.   11. ]
 [126.3 106.7   5.    3. ]
 [124.6 104.9   4.    4. ]
 [121.   98.   12.    9. ]
 [120.1  97.   17.   10. ]
 [124.3 104.    6.   10. ]
 [124.5 100.8  33.   11. ]
 [124.8 101.5  16.    4. ]
 [122.4 103.   45.   14. ]
 [122.3 103.    2.    1. ]
 [122.3 100.4  11.    3. ]
 [122.8 103.    4.    4. ]
 [125.  104.    5.    9. ]
 [125.  103.8   5.    5. ]
 [125.3 102.    5.   14. ]
 [125.5 101.4   8.   11. ]
 [125.   96.    1.    0. ]
 [124.1  93.8  10.   10. ]
 [123.8  97.    6.    7. ]
 [127.2 109.7   3.    2. ]
 [123.1 108.8   4.    5. ]
 [122.  109.2   5.    3. ]
 [121.3  98.4   9.   14. ]
 [122.2  99.    5.    4. ]
 [124.  102.    3.    5. ]
 [120.  106.2   7.    5. ]
 [122.  101.6   1.    4. ]
 [120.9  99.1  11.   10. ]
 [124.3 102.1   9.    5. ]
 [127.9 104.7  12.    9. ]
 [129.1 107.   11.   10. ]
 [129.9 110.4  20.   22. ]
 [125.1 110.    4.    3. ]
 [126.5 110.9   4.    4. ]
 [125.3 108.6   8.    9. ]
 [123.7 105.6  10.    4. ]
 [120.6 103.    2.    3. ]
 [123.6 108.6  42.   18. ]
 [124.6 106.3   6.    4. ]
 [128.7 108.5   3.    2. ]
 [128.9 109.    5.    4. ]
 [128.8 111.    4.    2. ]
 [127.3 111.7   4.    6. ]
 [128.5 108.1   6.    4. ]
 [127.  112.5   1.    1. ]
 [126.7 112.    7.    2. ]
 [126.3 108.5  11.    9. ]
 [123.8 108.    3.    1. ]
 [122.6 105.8   6.    7. ]
 [124.4 109.3   7.    4. ]
 [128.5 110.3   9.   14. ]
 [130.3 112.4   4.    3. ]
 [134.9 119.8   5.   19. ]
 [131.9 115.7   7.    5. ]
 [130.3 113.8   4.    8. ]
 [133.  121.2  17.   46. ]
 [130.8 117.5   6.    5. ]
 [130.2 116.8  12.    9. ]
 [125.7 107.7   1.    1. ]
 [128.3 108.9   6.    3. ]
 [128.  108.2   7.   17. ]
 [129.  106.7   9.    4. ]
 [131.7 109.1  14.   24. ]
 [127.5 107.9  25.    7. ]
 [129.2 109.6   8.    4. ]
 [132.4 122.2   1.    3. ]
 [128.3 113.2   6.    9. ]
 [129.2 112.1   6.   13. ]
 [126.8 109.2   8.    7. ]
 [121.8 107.8   2.    1. ]
 [119.2 103.8   8.    8. ]
 [122.5 104.8   7.    4. ]
 [124.1 106.1   4.    8. ]
 [124.5 106.    0.    1. ]
 [116.  101.1  10.    7. ]
 [120.  106.3  12.    9. ]
 [121.5 105.3   7.    9. ]
 [117.3 103.    7.    4. ]
 [120.1 100.9  10.    4. ]
 [121.9 104.7   4.    3. ]
 [115.6  98.1   5.    4. ]
 [115.6  95.    5.    4. ]
 [120.4 106.7  10.   10. ]
 [119.1 104.9   6.    6. ]
 [119.3 107.3  11.   27. ]
 [115.7 101.9   6.   15. ]
 [112.5 101.7   9.   12. ]
 [111.   95.9   3.    3. ]
 [110.6  96.7   7.    4. ]
 [113.2  98.1  19.   13. ]
 [115.   95.    0.    0. ]
 [113.5  93.4   2.    3. ]
 [114.3 100.    2.    1. ]
 [114.2  99.    5.    3. ]
 [113.   97.8   7.    4. ]
 [109.6  96.    5.    2. ]
 [111.   96.3   1.    1. ]
 [114.7  94.    2.    2. ]
 [117.   96.3   4.    5. ]
 [118.8 106.5   4.    7. ]
 [124.7 113.7   1.    6. ]
 [125.2 114.6   4.    8. ]
 [124.5 119.6   5.   40. ]
 [116.7 112.3  10.   32. ]
 [116.4 110.5   7.   20. ]
 [112.3 104.9   3.   14. ]
 [109.1 101.3   2.    4. ]
 [108.4 100.1   1.    4. ]
 [107.6  98.8   0.    3. ]
 [107.8  97.8   7.    9. ]
 [112.5 103.5   1.    1. ]
 [115.6 103.    2.    1. ]
 [111.2 101.6   3.    3. ]
 [112.8  95.1   2.    8. ]
