0
"[[ 64.   46.5   6.    5. ]
 [ 65.   47.    2.    0. ]
 [ 66.3  47.6  10.   16. ]
 ...
 [101.5  81.    2.    3. ]
 [102.3  82.7   4.    7. ]
 [102.7  79.8   7.   46. ]]"
"[[67.3 49.3 13.  13. ]
 [68.8 50.2 16.  20. ]
 [70.1 50.2 18.  14. ]
 ...
 [83.8 61.8 19.  28. ]
 [85.1 63.   5.   5. ]
 [87.2 73.4 14.  31. ]]"
"[[61.4 53.4  4.  46. ]
 [61.7 55.7  0.   2. ]
 [60.2 44.7 15.  12. ]
 ...
 [66.5 56.7  4.  11. ]
 [66.7 56.3  4.   7. ]
 [69.  50.   4.   6. ]]"
"[[62.2 53.6  2.   2. ]
 [61.7 52.1  8.  12. ]
 [58.5 49.5  5.  13. ]
 ...
 [67.  56.   6.  23. ]
 [68.5 55.8  8.  29. ]
 [71.  56.   4.   3. ]]"
"[[58.4 44.   2.  10. ]
 [61.4 53.9  4.  18. ]
 [60.4 53.   1.  12. ]
 ...
 [77.5 54.5  7.  35. ]
 [77.  54.5  1.  12. ]
 [70.8 66.8 18.   7. ]]"
"[[63.  50.3 66.  57. ]
 [67.  53.2  4.   6. ]
 [66.  52.   4.   9. ]
 ...
 [86.  62.  35.  71. ]
 [87.5 62.   7.   6. ]
 [87.  62.   1.  17. ]]"
"[[63.  51.  32.  21. ]
 [69.9 53.8 23.  17. ]
 [53.4 42.6 47.  12. ]
 ...
 [54.3 44.  11.   3. ]
 [57.5 46.8  2.   4. ]
 [59.  46.6 15.   6. ]]"
"[[ 68.3  52.    4.    8. ]
 [ 70.1  53.3  16.    3. ]
 [ 71.   55.    6.   19. ]
 ...
 [102.8  93.4   6.  182. ]
 [104.2  94.    5.    2. ]
 [ 99.   86.8   3.   65. ]]"
"[[53.3 45.3 33.  16. ]
 [59.2 45.4 23.  10. ]
 [60.4 45.2 30.   1. ]
 ...
 [63.3 45.6  6.  18. ]
 [65.5 55.5  5.  51. ]
 [64.9 54.5  8.  12. ]]"
"[[66.3 48.2 41.  16. ]
 [67.  47.  35.  65. ]
 [67.  56.7  1.   4. ]
 ...
 [66.4 47.6  4.   8. ]
 [70.3 53.8  6.   8. ]
 [72.2 51.   4.   4. ]]"
"[[64.3 44.5 33.  49. ]
 [68.3 52.9  2.   5. ]
 [69.3 53.7  2.   2. ]
 ...
 [84.  70.8  3.   6. ]
 [88.  76.   3.   0. ]
 [90.2 80.2 25.   8. ]]"
"[[ 66.   55.    0.   29. ]
 [ 69.7  52.9   8.   40. ]
 [ 71.   62.    8.   20. ]
 [ 69.5  56.   10.   46. ]
 [ 70.   62.    6.    1. ]
 [ 70.7  63.    6.    4. ]
 [ 68.5  55.5   0.    3. ]
 [ 64.7  48.    1.   37. ]
 [ 64.   47.    7.   18. ]
 [ 59.5  53.3  94.   36. ]
 [ 57.3  50.    1.    9. ]
 [ 55.   49.    4.    8. ]
 [ 52.5  44.8   1.    3. ]
 [ 56.   46.    2.    4. ]
 [ 51.   45.    1.    1. ]
 [ 52.   45.4  42.   22. ]
 [ 50.8  46.    6.    2. ]
 [ 50.5  45.8   9.    4. ]
 [ 51.   45.    3.    2. ]
 [ 50.   46.    3.    4. ]
 [ 51.   44.    0.    4. ]
 [ 54.   40.4   5.   14. ]
 [ 54.7  37.3  11.   14. ]
 [ 54.5  38.    3.    4. ]
 [ 57.6  39.4   9.   34. ]
 [ 66.   47.    5.  103. ]
 [ 65.8  47.8  19.   33. ]
 [ 63.3  47.1  60.   16. ]
 [ 64.   47.5   1.   19. ]
 [ 64.3  48.    4.   46. ]
 [ 64.   46.    8.   64. ]
 [ 62.   42.7  16.   57. ]
 [ 60.7  40.   12.   31. ]
 [ 61.7  41.   41.  106. ]
 [ 64.4  48.2   6.    4. ]
 [ 62.7  54.    3.    9. ]
 [ 63.   53.6  13.   14. ]
 [ 61.7  46.    4.   17. ]
 [ 69.   52.1   2.    3. ]
 [ 68.6  52.3   3.    5. ]
 [ 66.8  48.    2.    6. ]
 [ 69.7  48.7   5.    2. ]
 [ 67.3  50.8  16.   10. ]
 [ 68.6  50.8   5.    8. ]
 [ 68.   51.   11.    5. ]
 [ 72.   52.7  17.   14. ]
 [ 75.   58.8  23.  120. ]
 [ 73.   55.    6.   35. ]
 [ 66.3  50.7  19.   15. ]
 [ 67.   51.   24.   31. ]
 [ 62.7  49.    6.   11. ]
 [ 51.3  43.9   4.    5. ]
 [ 51.   45.    3.    2. ]
 [ 50.8  44.3   2.    4. ]
 [ 51.9  44.6   5.    9. ]
 [ 51.   42.2   5.    1. ]
 [ 50.7  36.3   2.    5. ]
 [ 50.   35.    2.    9. ]
 [ 50.6  37.5   2.    6. ]
 [ 50.4  40.6   2.    6. ]
 [ 49.9  40.4   4.   12. ]
 [ 48.5  38.5   4.    6. ]
 [ 54.   42.    6.   22. ]
 [ 52.9  43.7  15.   51. ]
 [ 57.7  44.    2.    0. ]
 [ 54.2  44.9  75.   46. ]
 [ 56.3  45.   51.   97. ]
 [ 57.   45.5  19.   32. ]
 [ 55.2  44.2  22.   32. ]
 [ 55.8  44.3   7.    9. ]
 [ 55.5  44.3   2.   15. ]
 [ 57.7  46.1  28.   39. ]
 [ 56.   46.    2.    6. ]
 [ 55.   44.5   8.   19. ]
 [ 46.2  36.6   5.   25. ]
 [ 45.   33.5   2.    6. ]
 [ 45.8  33.5   4.    7. ]
 [ 47.1  37.7   7.    4. ]
 [ 49.9  37.8   7.   15. ]
 [ 48.5  38.2  12.   12. ]
 [ 50.9  37.7   6.   16. ]
 [ 51.   37.    3.    6. ]
 [ 48.   39.    6.    1. ]
 [ 49.3  34.7   8.   15. ]
 [ 50.   33.7   7.   11. ]
 [ 50.4  33.6  32.   45. ]
 [ 53.3  37.3   3.   14. ]
 [ 52.5  37.    3.    8. ]
 [ 52.3  36.    5.    7. ]
 [ 50.   35.3   4.   16. ]
 [ 50.7  34.    7.    2. ]
 [ 51.   34.   19.   43. ]
 [ 47.2  38.   13.    5. ]
 [ 51.8  37.8   7.   18. ]
 [ 51.   35.3   1.    9. ]
 [ 51.   36.   10.   26. ]
 [ 52.   34.   19.   46. ]
 [ 59.   40.3   2.    0. ]
 [ 60.   42.3   4.    4. ]
 [ 59.4  40.6   3.    7. ]
 [ 60.5  44.8   7.   25. ]
 [ 61.7  47.8   4.    6. ]
 [ 58.   44.7   1.    3. ]
 [ 55.   41.7   2.    5. ]
 [ 58.   43.4   2.    4. ]
 [ 60.5  47.    7.   20. ]
 [ 61.8  47.4   2.    9. ]
 [ 60.   45.5   8.   22. ]
 [ 57.   42.   20.   52. ]
 [ 58.3  43.5  18.   47. ]
